mode,gpu_count,repeat,gpu_index,sample_count,mean_power_w,std_power_w,mean_utilization_pct
offline_inference,1,1,0,17,299.994705882,0.0215399765143,100
offline_inference,1,2,0,17,299.991176471,0.0121872643265,100
offline_inference,1,3,0,17,299.991176471,0.00992619825334,100
offline_inference,4,1,0,16,299.995,0.0212916258969,100
offline_inference,4,1,1,16,299.9975,0.0240831891576,100
offline_inference,4,1,2,16,299.996875,0.022721135535,100
offline_inference,4,1,3,16,299.99625,0.0174642491966,100
offline_inference,4,2,0,17,299.984705882,0.0194028500029,100
offline_inference,4,2,1,17,299.991176471,0.0199632014408,100
offline_inference,4,2,2,17,300.218823529,0.922956407103,100
offline_inference,4,2,3,17,299.997058824,0.0186295148495,100
offline_inference,4,3,0,16,299.994375,0.0154784796842,100
offline_inference,4,3,1,16,299.993125,0.0157982066493,100
offline_inference,4,3,2,16,300.00125,0.0212524508391,100
offline_inference,4,3,3,16,299.99375,0.0125830573921,100
training,1,1,0,17,299.990588235,0.0292554670607,100
training,1,2,0,17,299.988823529,0.0360351135944,100
training,1,3,0,18,299.993888889,0.0252374345878,100
training,4,1,0,16,275.095625,0.851210657436,100
training,4,1,1,16,245.895,1.05534828374,100
training,4,1,2,16,256.4625,1.46850717851,100
training,4,1,3,16,248.403125,1.26973340378,100
training,4,2,0,17,276.621176471,1.11228302577,100
training,4,2,1,17,250.602941176,1.42980665085,100
training,4,2,2,17,264.377058824,1.64001053619,100
training,4,2,3,17,255.202352941,1.51506406388,100
training,4,3,0,16,278.803125,1.41008141018,100
training,4,3,1,16,256.39375,1.06936040074,100
training,4,3,2,16,270.4025,1.49358851986,100
training,4,3,3,16,260.98875,1.27318956431,100
