duration_h,reliability_target,confidence_level,scenario_count,tolerance_order_statistic_rank,achieved_tolerance_confidence,estimable,sample_size_sufficient,perfect_information_firm_capacity_kw,reference_mix_operating_peak_kw,nominal_flexibility_fraction,nominal_flexibility_kw,physical_gap_kw,physical_gap_fraction_of_reference_peak
1,0.9,0.95,100,5,0.976288917337,True,True,55.9760946717,201.000783984,0.5,100.500391992,44.5242973203,0.221513053023
2,0.9,0.95,100,5,0.976288917337,True,True,53.274947791,201.000783984,0.5,100.500391992,47.225444201,0.234951542302
3,0.9,0.95,100,5,0.976288917337,True,True,44.4641470777,201.000783984,0.5,100.500391992,56.0362449143,0.278786200748
4,0.9,0.95,100,5,0.976288917337,True,True,43.0051291549,201.000783984,0.5,100.500391992,57.4952628372,0.286044968072
6,0.9,0.95,100,5,0.976288917337,True,True,41.6790518929,201.000783984,0.5,100.500391992,58.8213400991,0.292642341653
8,0.9,0.95,100,5,0.976288917337,True,True,40.2902211553,201.000783984,0.5,100.500391992,60.2101708367,0.299551920362
1,0.95,0.95,100,2,0.962918790673,True,True,53.0050632979,201.000783984,0.5,100.500391992,47.4953286941,0.236294245986
2,0.95,0.95,100,2,0.962918790673,True,True,44.4641470777,201.000783984,0.5,100.500391992,56.0362449143,0.278786200748
3,0.95,0.95,100,2,0.962918790673,True,True,41.1908168229,201.000783984,0.5,100.500391992,59.3095751691,0.295071362378
4,0.95,0.95,100,2,0.962918790673,True,True,40.146878193,201.000783984,0.5,100.500391992,60.353513799,0.300265066647
6,0.95,0.95,100,2,0.962918790673,True,True,40.146878193,201.000783984,0.5,100.500391992,60.353513799,0.300265066647
8,0.95,0.95,100,2,0.962918790673,True,True,37.7597540487,201.000783984,0.5,100.500391992,62.7406379433,0.312141259849
1,0.99,0.95,100,,,False,False,,201.000783984,0.5,100.500391992,,
2,0.99,0.95,100,,,False,False,,201.000783984,0.5,100.500391992,,
3,0.99,0.95,100,,,False,False,,201.000783984,0.5,100.500391992,,
4,0.99,0.95,100,,,False,False,,201.000783984,0.5,100.500391992,,
6,0.99,0.95,100,,,False,False,,201.000783984,0.5,100.500391992,,
8,0.99,0.95,100,,,False,False,,201.000783984,0.5,100.500391992,,
