duration_h,notice_h,reliability_target,confidence_level,candidate_reduction_kw,candidate_fraction_of_reference_mix_peak,success_count,trial_count,empirical_success_fraction,wilson_lower_confidence_bound,certified,minimum_interval_delivery_ratio,p95_deadline_miss_rate,p95_rebound_ratio,p95_terminal_backlog_fraction,p05_window_peak_relief_fraction
1,0,0.9,0.95,60.2609772296,0.2998046875,454,500,0.908,0.88448727504,False,0.772469317075,3.12537345828e-18,0.204389284662,0,0.557544823156
2,0,0.9,0.95,50.8390654803,0.2529296875,473,500,0.946,0.926845719126,True,0.758983035774,3.18468024378e-18,0.190575436926,0,0.579805151222
3,0,0.9,0.95,44.9503706371,0.2236328125,477,500,0.954,0.935995341394,True,0.779001013983,3.18468024378e-18,0.182543831921,0,0.596679813573
4,0,0.9,0.95,44.1652113246,0.2197265625,462,500,0.924,0.902143819204,True,0.792849920899,3.54334508945e-18,0.179940548453,0,0.599120619692
6,0,0.9,0.95,39.8468351062,0.1982421875,473,500,0.946,0.926845719126,True,0.878774542868,3.46426937544e-18,0.197347613829,0,0.612858149834
8,0,0.9,0.95,39.8468351062,0.1982421875,465,500,0.93,0.908825171275,True,0.859675149796,3.24963529457e-18,0.203234295612,0,0.610897886253
1,2,0.9,0.95,60.2609772296,0.2998046875,454,500,0.908,0.88448727504,False,0.772469317075,3.01805641784e-18,0.204472409007,0,0.557544823156
2,2,0.9,0.95,50.8390654803,0.2529296875,473,500,0.946,0.926845719126,True,0.758983035774,3.18468024378e-18,0.190575436926,0,0.579805151222
3,2,0.9,0.95,44.9503706371,0.2236328125,477,500,0.954,0.935995341394,True,0.779001013983,3.18468024378e-18,0.182543831921,0,0.596679813573
4,2,0.9,0.95,44.1652113246,0.2197265625,462,500,0.924,0.902143819204,True,0.792849920899,3.46803488563e-18,0.17957793029,0,0.599120619692
6,2,0.9,0.95,39.8468351062,0.1982421875,473,500,0.946,0.926845719126,True,0.878774542868,3.12725621337e-18,0.197347613829,0,0.612858149834
8,2,0.9,0.95,39.8468351062,0.1982421875,465,500,0.93,0.908825171275,True,0.859675149796,3.46426937544e-18,0.20319663414,0,0.610897886253
1,6,0.9,0.95,60.2609772296,0.2998046875,454,500,0.908,0.88448727504,False,0.772469317075,3.01805641784e-18,0.204472409007,0,0.557544823156
2,6,0.9,0.95,50.8390654803,0.2529296875,473,500,0.946,0.926845719126,True,0.758983035774,3.18468024378e-18,0.190575436926,0,0.579805151222
3,6,0.9,0.95,44.9503706371,0.2236328125,477,500,0.954,0.935995341394,True,0.779001013983,3.18468024378e-18,0.182543831921,0,0.596679813573
4,6,0.9,0.95,44.1652113246,0.2197265625,462,500,0.924,0.902143819204,True,0.792849920899,3.46803488563e-18,0.17957793029,0,0.599120619692
6,6,0.9,0.95,39.8468351062,0.1982421875,473,500,0.946,0.926845719126,True,0.878774542868,3.01805641784e-18,0.197347613829,0,0.612858149834
8,6,0.9,0.95,39.8468351062,0.1982421875,465,500,0.93,0.908825171275,True,0.859675149796,3.46426937544e-18,0.20319663414,0,0.610897886253
1,0,0.95,0.95,55.1574416987,0.2744140625,477,500,0.954,0.935995341394,False,0.843943346413,3.24963529457e-18,0.194832384359,0,0.566581908863
2,0,0.95,0.95,45.7355299495,0.2275390625,491,500,0.982,0.969313272097,True,0.84367642174,3.53957957926e-18,0.183484349175,0,0.592655098579
3,0,0.95,0.95,39.6505452781,0.197265625,497,500,0.994,0.985082981232,True,0.883124911892,3.16396993773e-18,0.17189923083,0,0.617624111252
4,0,0.95,0.95,39.6505452781,0.197265625,492,500,0.984,0.97182857261,True,0.883124911892,3.16396993773e-18,0.172371710374,0,0.618378412639
6,0,0.95,0.95,37.8839368251,0.1884765625,489,500,0.978,0.964363221245,True,0.924306902602,3.16396993773e-18,0.195213987037,0,0.626336413173
8,0,0.95,0.95,36.7061978565,0.1826171875,492,500,0.984,0.97182857261,True,0.933230242827,2.79024305131e-18,0.199935237943,0,0.621820629015
1,2,0.95,0.95,55.1574416987,0.2744140625,477,500,0.954,0.935995341394,False,0.843943346413,3.24963529457e-18,0.194588048931,0,0.566581908863
2,2,0.95,0.95,45.7355299495,0.2275390625,491,500,0.982,0.969313272097,True,0.84367642174,3.54334508945e-18,0.183484349175,0,0.592655098579
3,2,0.95,0.95,39.6505452781,0.197265625,497,500,0.994,0.985082981232,True,0.883124911892,3.12725621337e-18,0.172213256768,0,0.617624111252
4,2,0.95,0.95,39.6505452781,0.197265625,492,500,0.984,0.97182857261,True,0.883124911892,3.18279748869e-18,0.172359480393,0,0.618378412639
6,2,0.95,0.95,37.8839368251,0.1884765625,489,500,0.978,0.964363221245,True,0.924306902602,3.19597677435e-18,0.195213987037,0,0.626336413173
8,2,0.95,0.95,36.7061978565,0.1826171875,492,500,0.984,0.97182857261,True,0.933230242827,2.86743601022e-18,0.199935237943,0,0.621820629015
1,6,0.95,0.95,55.1574416987,0.2744140625,477,500,0.954,0.935995341394,False,0.843943346413,3.24963529457e-18,0.194588048931,0,0.566581908863
2,6,0.95,0.95,45.7355299495,0.2275390625,491,500,0.982,0.969313272097,True,0.84367642174,3.54334508945e-18,0.183484349175,0,0.592655098579
3,6,0.95,0.95,39.6505452781,0.197265625,497,500,0.994,0.985082981232,True,0.883124911892,3.12725621337e-18,0.172213256768,0,0.617624111252
4,6,0.95,0.95,39.6505452781,0.197265625,492,500,0.984,0.97182857261,True,0.883124911892,3.18279748869e-18,0.172359480393,0,0.618378412639
6,6,0.95,0.95,37.8839368251,0.1884765625,489,500,0.978,0.964363221245,True,0.924306902602,3.16396993773e-18,0.195213987037,0,0.626336413173
8,6,0.95,0.95,36.7061978565,0.1826171875,492,500,0.984,0.97182857261,True,0.933230242827,2.86743601022e-18,0.199935237943,0,0.621820629015
1,0,0.99,0.95,49.0724570274,0.244140625,493,500,0.986,0.974376913541,False,0.948592321368,3.19597677435e-18,0.183311641065,0,0.582255875843
2,0,0.99,0.95,39.2579656219,0.1953125,497,500,0.994,0.985082981232,False,0.949999997799,3.01429090765e-18,0.164349770063,0,0.619857054866
3,0,0.99,0.95,34.3507199191,0.1708984375,499,500,0.998,0.9910858742,True,0.949999998255,3.12725621337e-18,0.15566759866,0,0.650017167271
4,0,0.99,0.95,34.3507199191,0.1708984375,498,500,0.996,0.987985666295,False,0.949999998074,3.16302856019e-18,0.156161668495,0,0.648096889769
6,0,0.99,0.95,32.9766911224,0.1640625,499,500,0.998,0.9910858742,True,0.949999997413,3.12725621337e-18,0.19112231435,0,0.658298094609
8,0,0.99,0.95,32.9766911224,0.1640625,499,500,0.998,0.9910858742,True,0.949999997413,3.16302856019e-18,0.195443687284,0,0.645007047593
1,2,0.99,0.95,49.0724570274,0.244140625,493,500,0.986,0.974376913541,False,0.948592321368,3.32117998819e-18,0.183731253907,0,0.582255875843
2,2,0.99,0.95,39.2579656219,0.1953125,497,500,0.994,0.985082981232,False,0.949999997799,3.01429090765e-18,0.164349770063,0,0.619857054866
3,2,0.99,0.95,34.3507199191,0.1708984375,499,500,0.998,0.9910858742,True,0.949999998255,3.12537345828e-18,0.15566759866,0,0.650017167271
4,2,0.99,0.95,34.3507199191,0.1708984375,498,500,0.996,0.987985666295,False,0.949999998074,3.16302856019e-18,0.156161668495,0,0.648096889769
6,2,0.99,0.95,32.9766911224,0.1640625,499,500,0.998,0.9910858742,True,0.949999997413,3.12725621337e-18,0.19112231435,0,0.658298094609
8,2,0.99,0.95,32.9766911224,0.1640625,499,500,0.998,0.9910858742,True,0.949999997413,3.12725621337e-18,0.195443687284,0,0.645007047593
1,6,0.99,0.95,49.0724570274,0.244140625,493,500,0.986,0.974376913541,False,0.948592321368,3.32117998819e-18,0.183731253907,0,0.582255875843
2,6,0.99,0.95,39.2579656219,0.1953125,497,500,0.994,0.985082981232,False,0.949999997799,3.01429090765e-18,0.164349770063,0,0.619857054866
3,6,0.99,0.95,34.3507199191,0.1708984375,499,500,0.998,0.9910858742,True,0.949999998255,3.12537345828e-18,0.15566759866,0,0.650017167271
4,6,0.99,0.95,34.3507199191,0.1708984375,498,500,0.996,0.987985666295,False,0.949999998074,3.16302856019e-18,0.156161668495,0,0.648096889769
6,6,0.99,0.95,32.9766911224,0.1640625,499,500,0.998,0.9910858742,True,0.949999997413,3.12725621337e-18,0.19112231435,0,0.658298094609
8,6,0.99,0.95,32.9766911224,0.1640625,499,500,0.998,0.9910858742,True,0.949999997413,3.12725621337e-18,0.195443687284,0,0.645007047593
