duration_h,notice_h,ensemble_success_fraction_target,scenario_count,required_success_count,selected_success_count,empirical_success_fraction,non_anticipative_capacity_kw,matched_pi_ensemble_capacity_kw,information_restriction_gap_kw,non_anticipative_status
1,0,0.95,100,95,95,0.95,56.4243432627,56.4243432627,0,optimal
2,0,0.95,100,95,95,0.95,53.4901623195,53.4901623195,0,optimal
3,0,0.95,100,95,95,0.95,45.1685704923,45.1685704923,0,optimal
4,0,0.95,100,95,95,0.95,44.0003270536,44.0003270536,0,optimal
6,0,0.95,100,95,95,0.95,43.0051291549,43.0051291549,0,optimal
8,0,0.95,100,95,95,0.95,41.1908168229,41.1908168229,0,optimal
1,2,0.95,100,95,95,0.95,56.4243432627,56.4243432627,0,optimal
2,2,0.95,100,95,95,0.95,53.4901623195,53.4901623195,0,optimal
3,2,0.95,100,95,95,0.95,45.1685704923,45.1685704923,0,optimal
4,2,0.95,100,95,95,0.95,44.0003270536,44.0003270536,0,optimal
6,2,0.95,100,95,95,0.95,43.0051291549,43.0051291549,0,optimal
8,2,0.95,100,95,95,0.95,41.1908168229,41.1908168229,0,optimal
1,6,0.95,100,95,95,0.95,56.4243432627,56.4243432627,0,optimal
2,6,0.95,100,95,95,0.95,53.4901623195,53.4901623195,0,optimal
3,6,0.95,100,95,95,0.95,45.1685704923,45.1685704923,0,optimal
4,6,0.95,100,95,95,0.95,44.0003270536,44.0003270536,0,optimal
6,6,0.95,100,95,95,0.95,43.0051291549,43.0051291549,0,optimal
8,6,0.95,100,95,95,0.95,41.1908168229,41.1908168229,0,optimal
