evaluation_split,duration_h,recovery_gap_h,event_ordinal,scenario_count,fixed_capacity_kw,local_event_success_fraction,fresh_local_event_success_fraction,p05_delivered_reduction_kw,p05_fresh_delivered_reduction_kw,fixed_commitment_residual_flexibility_ratio,mean_event_start_compute_debt_kwh,compute_debt_growth_vs_first_kwh,mean_paired_compute_debt_increment_kwh,mean_event_start_backlog_gpu_h,p05_minimum_local_service_margin,p05_paired_local_service_margin_delta,p95_rebound_ratio,failure_counts
development,4,2,1,100,44.0003270536,0.99,0.99,43.7317376113,43.7317376113,1,130.949533044,0,0,428.98849921,0.0255829594643,0,0.169163457376,"{""delivery"": 1, ""interval_delivery"": 1}"
development,4,2,2,100,44.0003270536,0.76,0.83,42.4990129522,42.4990129522,1,253.464583666,122.515050623,190.057144413,841.112578184,-0.198185011179,-0.215499668679,0.18318669401,"{""delivery"": 17, ""interval_delivery"": 17, ""window_relief"": 9}"
development,4,2,3,100,44.0003270536,0.93,1,43.5895487597,43.5916127341,0.999997508072,441.368473916,310.418940873,360.156611653,1457.97661627,-0.147572353848,-0.197572353848,0.169855672267,"{""window_relief"": 7}"
development,4,2,4,100,44.0003270536,0.93,1,43.9994539153,43.9998873917,1,705.275429674,574.325896631,578.909402989,2327.60929502,-0.193730520165,-0.243561079686,0.164375349106,"{""window_relief"": 7}"
development,4,4,1,100,44.0003270536,0.99,0.99,43.7317376113,43.7317376113,1,130.949533044,0,0,428.98849921,0.0255829594643,0,0.169189217134,"{""delivery"": 1, ""interval_delivery"": 1}"
development,4,4,2,100,44.0003270536,0.8,0.85,42.6201816865,42.6201816865,1,251.142987815,120.193454771,187.04997691,838.404615755,-0.0483133158172,-0.00241419254057,0.171844884241,"{""delivery"": 15, ""interval_delivery"": 15, ""window_relief"": 6}"
development,4,4,3,100,44.0003270536,0.97,1,43.9984631945,43.9988324776,1,527.292422696,396.342889652,414.208685858,1752.78874633,0.0351049380557,0,0.165685610856,"{""window_relief"": 3}"
development,4,4,4,100,44.0003270536,0.96,0.99,43.5332548832,43.5332548832,1,784.374634931,653.425101887,665.945657574,2616.46735472,9.32294070832e-09,-0.000421501989525,0.166814240377,"{""delivery"": 1, ""interval_delivery"": 1, ""window_relief"": 3}"
development,4,8,1,100,44.0003270536,0.99,0.99,43.7317376113,43.7317376113,1,130.949533044,0,0,428.98849921,0.0255829594643,0,0.169189217134,"{""delivery"": 1, ""interval_delivery"": 1}"
development,4,8,2,100,44.0003270536,0.99,1,43.5916127341,43.5916127341,1,258.207047888,127.257514844,176.995185624,862.484471692,0.0154082064631,0,0.164832123459,"{""window_relief"": 1}"
development,4,8,3,100,44.0003270536,0.98,0.99,43.5332548832,43.5332548832,1,641.767497727,510.817964683,523.33852037,2151.58269481,0.00554583194916,0,0.169420174871,"{""delivery"": 1, ""interval_delivery"": 1, ""window_relief"": 1}"
development,4,8,4,100,44.0003270536,0.98,1,43.6708808938,43.6708808938,1,772.01324134,641.063708297,693.145930016,2589.94384862,0.0213795831541,0,0.162108674202,"{""window_relief"": 2}"
development,4,12,1,100,44.0003270536,0.99,0.99,43.7317376113,43.7317376113,1,130.949533044,0,0,428.98849921,0.0255829594643,0,0.169189217134,"{""delivery"": 1, ""interval_delivery"": 1}"
development,4,12,2,100,44.0003270536,0.97,1,43.9920061183,43.9988324776,1,303.805362978,172.855829934,190.72162614,1012.28983535,0.0431890904902,0,0.146371921592,"{""window_relief"": 3}"
development,4,12,3,100,44.0003270536,0.81,0.88,42.7317447393,42.7317447393,1,542.288180627,411.338647583,478.809466709,1831.3440356,-0.159989873883,-0.179535696173,0.1728938504,"{""delivery"": 12, ""interval_delivery"": 12, ""window_relief"": 9}"
