evaluation_split,duration_h,recovery_gap_h,scenario_count,fixed_capacity_kw,joint_episode_success_fraction,mean_successful_event_count,event_count,episode_service_feasible_fraction,mean_episode_deadline_miss_rate,mean_episode_terminal_backlog_fraction
development,4,2,100,44.0003270536,0.75,3.61,4,1,2.29672587194e-19,0
development,4,4,100,44.0003270536,0.78,3.72,4,1,3.3588350901e-19,0
development,4,8,100,44.0003270536,0.94,3.94,4,1,3.10315547725e-19,0
development,4,12,100,44.0003270536,0.78,3.75,4,1,2.05226189003e-19,0
development,4,24,100,44.0003270536,0.61,3.74,4,0.77,0.00655014759696,0
development,8,2,100,41.1908168229,0.73,3.71,4,1,2.63261747091e-19,0
development,8,4,100,41.1908168229,0.85,3.84,4,1,4.68038207679e-19,0
development,8,8,100,41.1908168229,0.65,3.59,4,1,2.57680108815e-05,0
development,8,12,100,41.1908168229,0.79,3.73,4,1,3.36183573104e-19,0
development,8,24,100,41.1908168229,0,3.59,4,0,0.0666367221305,0
validation,4,2,100,44.0003270536,0.78,3.54,4,1,1.97778432337e-06,0
validation,4,4,100,44.0003270536,0.87,3.81,4,1,6.99584724554e-19,0
validation,4,8,100,44.0003270536,0.97,3.97,4,1,3.10195669178e-19,0
validation,4,12,100,44.0003270536,0.88,3.88,4,1,2.85613947964e-19,0
validation,4,24,100,44.0003270536,0.77,3.87,4,0.86,0.00533874762703,0
validation,8,2,100,41.1908168229,0.8,3.78,4,1,3.6647827931e-19,0
validation,8,4,100,41.1908168229,0.83,3.82,4,1,1.57206154703e-06,0
validation,8,8,100,41.1908168229,0.54,3.48,4,1,2.9576905826e-19,0
validation,8,12,100,41.1908168229,0.68,3.64,4,1,1.91993950848e-19,0
validation,8,24,100,41.1908168229,0,3.66,4,0,0.0664522977562,0
