evaluation_split,scenario_id,scenario_hash,episode_seed,duration_h,recovery_gap_h,event_ordinal,event_start_hour,fixed_capacity_kw,delivered_reduction_kw,fresh_delivered_reduction_kw,delivery_ratio,minimum_interval_delivery_ratio,event_start_backlog_gpu_h,event_start_compute_debt_kwh,fresh_event_start_compute_debt_kwh,paired_compute_debt_increment_kwh,paired_local_service_margin_delta,paired_residual_flexibility_ratio,local_event_success,fresh_local_event_success,failure_labels,fresh_failure_labels
development,hourly_seed_10000,45cf1a580cb3efc4b100e9efcce495177a234fd0c6924b6f0313eea243f6a79a,10000,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,511.963475326,154.983567296,154.983567296,0,0,1,True,True,,
development,hourly_seed_10000,45cf1a580cb3efc4b100e9efcce495177a234fd0c6924b6f0313eea243f6a79a,10000,4,2,2,69,44.0003270536,43.2674008094,43.2674008094,0.983342709173,0.965943574831,787.810006522,234.799339729,57.7334588233,177.065880906,0,1,True,True,,
development,hourly_seed_10000,45cf1a580cb3efc4b100e9efcce495177a234fd0c6924b6f0313eea243f6a79a,10000,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1430.41950498,431.045487157,87.0341049704,344.011382187,0,1,True,True,,
development,hourly_seed_10000,45cf1a580cb3efc4b100e9efcce495177a234fd0c6924b6f0313eea243f6a79a,10000,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2154.28042782,650.903527537,96.5066084958,554.396919042,0,1,True,True,,
development,hourly_seed_10001,134ed7a22a441af48eadca38c0a45e92d8c71ac565481c453db52501ad49f1d3,10001,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,622.849031991,187.726225792,187.726225792,0,0,1,True,True,,
development,hourly_seed_10001,134ed7a22a441af48eadca38c0a45e92d8c71ac565481c453db52501ad49f1d3,10001,4,2,2,69,44.0003270536,43.0615821027,43.0615821027,0.978665046063,0.950000001247,914.931825588,272.408679798,61.7751466005,210.633533198,-0.0739755415733,1,False,True,window_relief,
development,hourly_seed_10001,134ed7a22a441af48eadca38c0a45e92d8c71ac565481c453db52501ad49f1d3,10001,4,2,3,75,44.0003270536,44.0003270536,44.0003270536,1,1,1641.21173416,491.300684633,113.988449404,377.312235229,-0.123975540326,1,False,True,window_relief,
development,hourly_seed_10001,134ed7a22a441af48eadca38c0a45e92d8c71ac565481c453db52501ad49f1d3,10001,4,2,4,81,44.0003270536,44.0003270536,44.0003270536,1,1,2256.3984279,675.03608352,90.1609081362,584.875175384,0,1,True,True,,
development,hourly_seed_10002,e7fdbed334be932a16f52ad2d11b7ad85b2cf2ae672c9c55f285847bfb0e4cc5,10002,4,2,1,63,44.0003270536,44.0003270536,44.0003270536,1,1,539.833883096,162.615565801,162.615565801,0,0,1,True,True,,
development,hourly_seed_10002,e7fdbed334be932a16f52ad2d11b7ad85b2cf2ae672c9c55f285847bfb0e4cc5,10002,4,2,2,69,44.0003270536,42.6755456312,42.6755456312,0.969891555106,0.92685967429,1009.58818007,302.020457969,62.9847616218,239.035696347,0,1,False,False,"delivery,interval_delivery","delivery,interval_delivery"
