evaluation_split,dc_operation,pv_enabled,bess_enabled,scenario_count,simultaneous_feasible_hosting_dc_peak_kw,mean_scenario_hosting_dc_peak_kw,minimum_scenario_hosting_dc_peak_kw,maximum_scenario_hosting_dc_peak_kw,q05_scenario_hosting_dc_peak_kw,q50_scenario_hosting_dc_peak_kw,q95_scenario_hosting_dc_peak_kw,hosting_gain_vs_rigid_simultaneous_kw
development,flexible,False,False,100,429.719515457,803.639273565,429.719515457,950.997148503,522.403814639,822.759119077,941.426688519,227.573123557
development,rigid,False,False,100,202.1463919,520.744224608,202.1463919,735.279974736,352.790879413,525.479207835,704.786654037,0
development,flexible,False,True,100,592.934717061,817.409703899,592.934717061,952.382728134,663.615836936,824.330999075,942.808384556,314.337380537
development,rigid,False,True,100,278.597336524,582.15509924,278.597336524,776.791546707,413.939063378,577.371744388,760.051404528,0
development,flexible,True,False,100,451.602985629,943.571191234,451.602985629,1097.1469236,542.928525335,956.63915246,1089.15504146,239.162286912
development,rigid,True,False,100,212.440698718,597.07457747,212.440698718,813.351285369,410.019233615,582.057383609,765.665245706,0
development,flexible,True,True,100,658.164892724,962.976134766,658.164892724,1105.29526504,754.702857199,963.929399399,1093.31373556,344.650998057
development,rigid,True,True,100,313.513894668,692.506063709,313.513894668,887.74441541,498.582685687,677.142621487,862.598335168,0
validation,flexible,False,False,100,668.33179734,761.534576682,668.33179734,897.596202848,678.641172499,751.484230487,864.294427637,306.892497058
validation,rigid,False,False,100,361.439300282,435.515197489,361.439300282,635.822625172,364.879766361,428.335500125,526.98887235,0
validation,flexible,False,True,100,685.837388133,767.246381658,685.837388133,899.003365411,694.100633053,754.362775213,866.332648461,267.200408914
validation,rigid,False,True,100,418.636979219,493.533367372,418.636979219,692.126480041,421.105094424,481.711056583,588.757584564,0
validation,flexible,True,False,100,869.532133255,923.803036347,869.532133255,1032.47170138,876.647355151,912.279300231,1003.40175437,408.949191053
validation,rigid,True,False,100,460.582942202,553.191249436,460.582942202,708.1435641,476.633785677,549.149451555,652.593717809,0
validation,flexible,True,True,100,875.099525593,928.029443272,875.099525593,1038.65901693,881.632238097,915.303374402,1011.54870685,319.067994569
validation,rigid,True,True,100,556.031531024,645.958825652,556.031531024,798.487985111,572.533328855,640.729715495,747.593888867,0
