evaluation_split,scenario_id,scenario_hash,episode_seed,dc_operation,pv_enabled,bess_enabled,pcc_capacity_kw,reference_mix_operating_peak_kw,hosting_dc_peak_kw,hosting_scale_of_reference_mix,minimum_background_gross_headroom_kw,maximum_pcc_power_kw,total_pv_available_kwh,total_pv_used_kwh,total_pv_curtailed_kwh,total_bess_charge_kwh,total_bess_discharge_kwh,terminal_soc_deviation_kwh,hosting_status
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,flexible,False,False,1000,201.000783984,819.545294617,4.07732387094,453.618953611,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,rigid,False,False,1000,201.000783984,479.68110252,2.38646383866,453.618953611,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,flexible,False,True,1000,201.000783984,821.270029287,4.08590460698,453.618953611,1000,0,0,0,315.789473684,285,0,optimal
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,rigid,False,True,1000,201.000783984,535.250467128,2.66292726087,453.618953611,1000,0,0,0,433.218853993,390.980015728,0,optimal
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,flexible,True,False,1000,201.000783984,1014.61282119,5.04780529249,453.618953611,1000,34286.210153,31304.4813174,2981.72883562,0,0,0,optimal
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,rigid,True,False,1000,201.000783984,564.780618509,2.80984286387,453.618953611,1000,34286.210153,7597.56190174,26688.6482512,0,0,0,optimal
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,flexible,True,True,1000,201.000783984,1017.84726733,5.06389700156,453.618953611,1000,34286.210153,29783.3571352,4502.85301774,525.209140276,474.001249099,0,optimal
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,rigid,True,True,1000,201.000783984,665.305305976,3.30996373641,453.618953611,1000,34286.210153,7452.91151878,26833.2986342,444.770851815,401.405693763,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,flexible,False,False,1000,201.000783984,950.267921679,4.72768266294,691.797940777,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,rigid,False,False,1000,201.000783984,729.85556069,3.63110802965,691.797940777,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,flexible,False,True,1000,201.000783984,951.67169449,4.73466658003,691.797940777,1000,0,0,0,274.13337305,247.405369178,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,rigid,False,True,1000,201.000783984,776.791546707,3.8646194871,691.797940777,1000,0,0,0,882.043921883,796.044639499,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,flexible,True,False,1000,201.000783984,1083.37487282,5.38990371753,691.797940777,1000,26279.904638,20432.2262417,5847.67839632,0,0,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,rigid,True,False,1000,201.000783984,762.123765833,3.79164573753,691.797940777,1000,26279.904638,1327.08418963,24952.8204484,0,0,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,flexible,True,True,1000,201.000783984,1086.91436863,5.40751308073,691.797940777,1000,26279.904638,20363.6913185,5916.21331955,593.004397738,535.186468959,0,optimal
development,hourly_seed_10001,70c10359a1fe5f3010629aae4114fa2dbd53a2349d238ca70c14d2eec0e0484d,10001,rigid,True,True,1000,201.000783984,862.114664433,4.28911095442,691.797940777,1000,26279.904638,6194.5669101,20085.3377279,725.458282627,654.726100071,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,flexible,False,False,1000,201.000783984,888.073379638,4.41825828753,555.253822628,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,rigid,False,False,1000,201.000783984,573.74307385,2.85443202,555.253822628,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,flexible,False,True,1000,201.000783984,889.471347135,4.42521332258,555.253822628,1000,0,0,0,210.526315789,190,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,rigid,False,True,1000,201.000783984,656.427185091,3.26579415304,555.253822628,1000,0,0,0,727.249781496,656.3429278,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,flexible,True,False,1000,201.000783984,987.883443316,4.9148238317,555.253822628,1000,21771.2315913,16086.5997893,5684.63180206,0,0,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,rigid,True,False,1000,201.000783984,593.84201237,2.95442634899,555.253822628,1000,21771.2315913,739.278139295,21031.953452,0,0,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,flexible,True,True,1000,201.000783984,995.525752132,4.9528451203,555.253822628,1000,21771.2315913,16174.3836719,5596.84791944,958.566065411,865.105874034,0,optimal
development,hourly_seed_10002,9bc1ab12e9fa58fdf6d0bc383d42538f537ecc3e8817a0f948a96ab8f5e30868,10002,rigid,True,True,1000,201.000783984,693.455066053,3.45001174776,555.253822628,1000,21771.2315913,1948.34032721,19822.8912641,769.676932586,694.633431659,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,flexible,False,False,1000,201.000783984,711.302596915,3.5388050873,394.091836323,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,rigid,False,False,1000,201.000783984,397.333328267,1.97677501745,394.091836323,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,flexible,False,True,1000,201.000783984,722.724158012,3.59562855272,394.091836323,1000,0,0,0,1144.05237655,1032.50726983,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,rigid,False,True,1000,201.000783984,448.284250073,2.23026120191,394.091836323,1000,0,0,0,455.214724049,410.831288454,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,flexible,True,False,1000,201.000783984,900.921821101,4.48218063255,394.091836323,1000,32470.6702756,32075.1044187,395.565856902,0,0,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,rigid,True,False,1000,201.000783984,536.191320346,2.6676081044,394.091836323,1000,32470.6702756,16690.0283212,15780.6419544,0,0,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,flexible,True,True,1000,201.000783984,904.149358398,4.49823796941,394.091836323,1000,32470.6702756,30048.2987644,2422.37151119,516.144238394,465.82017515,0,optimal
development,hourly_seed_10003,bdcaf45cd1f97729315e829d2a0eb63df4a5680da7b44454e950e795e3b4dbaa,10003,rigid,True,True,1000,201.000783984,639.912614413,3.18363243033,394.091836323,1000,32470.6702756,15767.3856979,16703.2845778,784.793951618,708.276541335,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,flexible,False,False,1000,201.000783984,790.146820709,3.9310633772,369.054188402,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,rigid,False,False,1000,201.000783984,451.699418097,2.24725202133,369.054188402,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,flexible,False,True,1000,201.000783984,793.386299806,3.94718012577,369.054188402,1000,0,0,0,385.360763958,347.788089472,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,rigid,False,True,1000,201.000783984,515.79293477,2.56612399487,369.054188402,1000,0,0,0,553.358497745,499.406044215,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,flexible,True,False,1000,201.000783984,812.936113451,4.04444250086,369.054188402,1000,20882.7999263,13795.096959,7087.70296738,0,0,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,rigid,True,False,1000,201.000783984,461.036989639,2.29370741994,369.054188402,1000,20882.7999263,429.117119003,20453.6828073,0,0,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,flexible,True,True,1000,201.000783984,886.055989187,4.40822155827,369.054188402,1000,20882.7999263,15995.2018284,4887.59809795,1057.84624637,954.70623735,0,optimal
development,hourly_seed_10004,6d9ebbe6b76d2ea5a0d57d2e416ac1f08c2b97ddd1941dda6fe588ef2516a139,10004,rigid,True,True,1000,201.000783984,554.605874633,2.75922244501,369.054188402,1000,20882.7999263,4139.27608766,16743.5238387,467.990080833,422.361047952,0,optimal
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,flexible,False,False,1000,201.000783984,657.846603809,3.27285591016,351.608988325,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,rigid,False,False,1000,201.000783984,355.441599361,1.76835926864,351.608988325,1000,0,0,0,0,0,0,optimal
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,flexible,False,True,1000,201.000783984,674.889045115,3.35764384465,351.608988325,1000,0,0,0,1553.48943253,1402.02421286,0,optimal
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,rigid,False,True,1000,201.000783984,415.720524299,2.06825324787,351.608988325,1000,0,0,0,728.332330241,657.319928042,0,optimal
development,hourly_seed_10005,539c6c400a4278e5f8ecefe595ed403ac5b861aa9b11c6fcb2a2bbb3780dd3c3,10005,flexible,True,False,1000,201.000783984,858.071401321,4.26899529601,351.608988325,1000,33023.1297973,32544.0431091,479.086688167,0,0,0,optimal
