evaluation_split,analysis_variant,dc_operation,bess_enabled,dc_scale_of_reference_mix,target_dc_peak_kw,maximum_pv_curtailment_fraction,scenario_count,feasible_scenario_count,all_scenarios_feasible,simultaneous_feasible_pv_hosting_kw,mean_scenario_pv_hosting_kw,minimum_scenario_pv_hosting_kw,maximum_scenario_pv_hosting_kw,q05_scenario_pv_hosting_kw,q50_scenario_pv_hosting_kw,q95_scenario_pv_hosting_kw
development,headline_pv_hosting_envelope,flexible,False,0.5,100.500391992,0.05,100,100,True,413.447601276,596.08263221,413.447601276,797.813550457,438.224392236,572.619066695,772.322389968
development,headline_pv_hosting_envelope,rigid,False,0.5,100.500391992,0.05,100,100,True,365.801133821,574.564352034,365.801133821,778.33153883,413.889669179,555.620166103,752.502268276
development,headline_pv_hosting_envelope,flexible,True,0.5,100.500391992,0.05,100,100,True,470.347817062,656.231359161,470.347817062,857.564873523,493.67630696,641.459314353,827.959943497
development,headline_pv_hosting_envelope,rigid,True,0.5,100.500391992,0.05,100,100,True,418.547608968,636.214713268,418.547608968,838.463963289,475.221663993,622.719684132,809.680731915
development,headline_pv_hosting_envelope,flexible,False,1,201.000783984,0.05,100,100,True,525.741229206,731.165198181,525.741229206,929.056661487,565.842277343,715.314143501,898.487872298
development,headline_pv_hosting_envelope,rigid,False,1,201.000783984,0.05,100,100,True,430.448294296,685.500884726,430.448294296,889.975053414,508.869650485,668.506542947,861.510301868
development,headline_pv_hosting_envelope,flexible,True,1,201.000783984,0.05,100,100,True,585.913605287,791.589609683,585.913605287,986.842513553,620.92012761,782.873818225,956.729120989
development,headline_pv_hosting_envelope,rigid,True,1,201.000783984,0.05,100,100,True,482.654683889,748.243319948,482.654683889,948.748865954,566.657648825,743.989453549,919.207130245
development,headline_pv_hosting_envelope,flexible,False,2,402.001567968,0.05,100,100,True,750.328485065,996.440172857,750.328485065,1185.68201311,810.450989664,994.53993624,1164.60343736
development,headline_pv_hosting_envelope,rigid,False,2,402.001567968,0.05,100,95,False,,897.42800467,559.742615246,1106.8351946,668.971974388,899.539475089,1082.92373824
development,headline_pv_hosting_envelope,flexible,True,2,402.001567968,0.05,100,100,True,810.519437478,1057.66441849,810.519437478,1243.05733022,866.975994987,1067.17617704,1219.00713746
development,headline_pv_hosting_envelope,rigid,True,2,402.001567968,0.05,100,96,False,,961.947311786,610.868833731,1164.69834077,732.56214778,964.368889877,1144.21972279
development,headline_pv_hosting_envelope,flexible,False,3,603.002351952,0.05,100,93,False,,1256.68961712,974.12763689,1444.57058506,1051.64940097,1268.63199049,1431.01684875
development,headline_pv_hosting_envelope,rigid,False,3,603.002351952,0.05,100,57,False,,1053.22247628,688.325704008,1345.82304261,813.778494357,1058.88104687,1274.03404704
development,headline_pv_hosting_envelope,flexible,True,3,603.002351952,0.05,100,100,True,1032.32742516,1320.54407217,1032.32742516,1498.58534106,1112.69538418,1334.86957237,1485.56150458
development,headline_pv_hosting_envelope,rigid,True,3,603.002351952,0.05,100,89,False,,1162.50406461,739.096124484,1406.91620454,878.360201633,1179.90796513,1361.0967734
development,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0,100,100,True,368.677615307,545.072722187,368.677615307,692.843680022,413.976002012,506.351188972,691.10350827
development,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0,100,100,True,296.30989055,488.477885286,296.30989055,682.719683123,325.267851506,479.18750444,652.672755022
development,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0,100,100,True,425.416337038,620.383499959,425.416337038,779.355876039,466.143978196,592.694043272,772.891666836
development,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0,100,100,True,366.489556404,571.423781648,366.489556404,764.756110621,385.790424261,568.451593884,750.243838539
development,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0.05,100,100,True,525.741229206,731.165198181,525.741229206,929.056661487,565.842277343,715.314143501,898.487872298
development,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0.05,100,100,True,430.448294296,685.500884726,430.448294296,889.975053414,508.869650485,668.506542947,861.510301868
development,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0.05,100,100,True,585.913605287,791.589609683,585.913605287,986.842513553,620.92012761,782.873818225,956.729120989
development,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0.05,100,100,True,482.654683889,748.243319948,482.654683889,948.748865954,566.657648825,743.989453549,919.207130245
development,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0.1,100,100,True,619.695224686,830.657972171,619.695224686,1026.37370471,642.08025899,816.241104208,1002.56317554
development,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0.1,100,100,True,549.655547805,783.913526461,549.655547805,988.150180758,591.998735624,765.117101039,962.981425225
development,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0.1,100,100,True,673.094612766,892.6034286,673.094612766,1082.54857109,699.133859931,883.474910694,1059.12413631
development,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0.1,100,100,True,614.992453664,847.319576458,614.992453664,1044.82955263,649.632562556,838.614264739,1022.01299677
development,pv_curtailment_sensitivity,flexible,False,1,201.000783984,0.2,100,100,True,761.055209129,1026.27453375,761.055209129,1228.90337991,801.09456322,1025.36827948,1205.62811488
development,pv_curtailment_sensitivity,rigid,False,1,201.000783984,0.2,100,100,True,711.847396442,975.332211378,711.847396442,1189.71283769,750.167598541,980.96278413,1164.51645863
development,pv_curtailment_sensitivity,flexible,True,1,201.000783984,0.2,100,100,True,820.426307181,1093.80803598,820.426307181,1283.71314483,861.680976819,1101.52573714,1262.47575062
development,pv_curtailment_sensitivity,rigid,True,1,201.000783984,0.2,100,100,True,772.007080557,1043.69526036,772.007080557,1244.51140182,816.621570716,1052.4807082,1219.80830591
validation,headline_pv_hosting_envelope,flexible,False,0.5,100.500391992,0.05,100,100,True,489.296801998,724.661158782,489.296801998,848.478109476,524.694424656,746.469000858,836.276204434
