evaluation_split,contrast,conditioning_axis,conditioning_level,metric,unit,independent_unit,scenario_count,estimate_mean,sample_standard_deviation,simultaneous_ci_lower,simultaneous_ci_upper,familywise_confidence_level,planned_contrast_count,bootstrap_resamples
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,pv_utilisation_fraction,fraction,frozen_scenario,100,0.00733527319218,0.0105835789605,0.00469720938324,0.0104217230554,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,pv_utilisation_fraction,fraction,frozen_scenario,100,0.00351776874395,0.00741993390688,0.00168277001343,0.00580904990999,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,renewable_demand_share,fraction,frozen_scenario,100,0.00261178251616,0.00333368553438,0.00172839127086,0.00359349856262,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,renewable_demand_share,fraction,frozen_scenario,100,0.00150450313684,0.00227978607008,0.000932794647364,0.00220761463723,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,total_grid_import_kwh,kWh,frozen_scenario,100,-344.639377353,268.196406896,-424.362914099,-274.622992291,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,total_grid_import_kwh,kWh,frozen_scenario,100,-260.421554244,191.395126505,-319.345386522,-211.815329643,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,total_pv_curtailed_kwh,kWh,frozen_scenario,100,-182.68784715,268.196403637,-259.247418632,-114.509549435,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,total_pv_curtailed_kwh,kWh,frozen_scenario,100,-87.4814222368,181.253636425,-143.743694507,-40.6401297692,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,total_pv_used_kwh,kWh,frozen_scenario,100,182.68784715,268.196403637,112.433419622,264.184457675,0.95,10,10000
development,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,total_pv_used_kwh,kWh,frozen_scenario,100,87.4814222368,181.253636425,42.2192107509,141.285107029,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,pv_utilisation_fraction,fraction,frozen_scenario,100,0.000720126835545,0.00259292611234,0.000154158650994,0.0016103952198,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,pv_utilisation_fraction,fraction,frozen_scenario,100,0.000227056669192,0.00116305981332,1.03956428038e-10,0.000608658380805,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,renewable_demand_share,fraction,frozen_scenario,100,0.000577308124462,0.000742408323959,0.000408861569354,0.000827620439332,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,renewable_demand_share,fraction,frozen_scenario,100,0.00044321238871,0.000354611300202,0.00037068410954,0.000563424923172,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,total_grid_import_kwh,kWh,frozen_scenario,100,-180.317970181,65.7945059123,-201.033022006,-165.972210613,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,total_grid_import_kwh,kWh,frozen_scenario,100,-168.981353731,32.8508777421,-179.57302776,-162.336189755,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,total_pv_curtailed_kwh,kWh,frozen_scenario,100,-18.3664440778,65.7945049319,-40.6423809085,-3.84445779278,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,total_pv_curtailed_kwh,kWh,frozen_scenario,100,-5.76498591745,29.5570329075,-15.3120575223,-2.89999174056e-06,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,False,total_pv_used_kwh,kWh,frozen_scenario,100,18.3664440778,65.7945049319,3.72855091452,40.0323263285,0.95,10,10000
validation,FLEXIBLE_MINUS_RIGID_FIXED_PV_OPERATION,bess_enabled,True,total_pv_used_kwh,kWh,frozen_scenario,100,5.76498591745,29.5570329075,2.69999527372e-06,15.8556516628,0.95,10,10000
