evaluation_split,dc_operation,bess_enabled,scenario_count,metric,mean,minimum,maximum,q05,q50,q95
development,flexible,False,100,deadline_miss_fraction,0.01,0.01,0.01,0.01,0.01,0.01
development,rigid,False,100,deadline_miss_fraction,0,0,0,0,0,0
development,flexible,True,100,deadline_miss_fraction,0.00999999998148,0.00999999938253,0.01,0.01,0.01,0.01
development,rigid,True,100,deadline_miss_fraction,0,0,0,0,0,0
development,flexible,False,100,hours_near_pcc_limit,0,0,0,0,0,0
development,rigid,False,100,hours_near_pcc_limit,0.02,0,2,0,0,0
development,flexible,True,100,hours_near_pcc_limit,0,0,0,0,0,0
development,rigid,True,100,hours_near_pcc_limit,0.02,0,2,0,0,0
development,flexible,False,100,maximum_pcc_import_kw,624.618350405,455.408708845,936.976912099,468.844425075,627.622098087,842.731246734
development,rigid,False,100,maximum_pcc_import_kw,618.076766011,443.722225718,988.681554366,450.429576372,629.779389596,840.860035883
development,flexible,True,100,maximum_pcc_import_kw,625.171839543,465.475665189,939.780077525,468.846461885,621.60669842,842.400270115
development,rigid,True,100,maximum_pcc_import_kw,618.076766011,443.722225718,988.681554366,450.429576372,629.779389596,840.860035883
development,flexible,False,100,pv_utilisation_fraction,0.995196545771,0.959945882225,1,0.98044068753,1,1
development,rigid,False,100,pv_utilisation_fraction,0.987861272579,0.918251469733,0.999999999713,0.954264201637,0.998418779007,0.999999999701
development,flexible,True,100,pv_utilisation_fraction,0.999124298646,0.980040988916,1,0.994387669678,0.999999999654,1
development,rigid,True,100,pv_utilisation_fraction,0.995606529902,0.941973187662,1,0.972768825344,0.999999999528,1
development,flexible,False,100,renewable_demand_share,0.273311597525,0.169276619646,0.375199766008,0.177021801947,0.27532592016,0.356608630739
development,rigid,False,100,renewable_demand_share,0.270699815009,0.16905965339,0.369562886567,0.17676047355,0.27497327116,0.349912682552
development,flexible,True,100,renewable_demand_share,0.274495447599,0.169276619646,0.379056197357,0.177251238603,0.27532592016,0.360470111303
development,rigid,True,100,renewable_demand_share,0.272990944462,0.16905965339,0.378152418317,0.17694953225,0.274973271239,0.359508075616
development,flexible,False,100,terminal_backlog_fraction,0,0,0,0,0,0
development,rigid,False,100,terminal_backlog_fraction,0,0,0,0,0,0
development,flexible,True,100,terminal_backlog_fraction,0,0,0,0,0,0
development,rigid,True,100,terminal_backlog_fraction,0,0,0,0,0,0
development,flexible,False,100,total_bess_charge_kwh,0,0,0,0,0,0
development,rigid,False,100,total_bess_charge_kwh,0,0,0,0,0,0
development,flexible,True,100,total_bess_charge_kwh,105.26030564,0,640.857697368,0,0,388.753587061
development,rigid,True,100,total_bess_charge_kwh,217.963904446,0,956.356110563,0,33.9763704101,764.315582745
development,flexible,False,100,total_bess_discharge_kwh,0,0,0,0,0,0
development,rigid,False,100,total_bess_discharge_kwh,0,0,0,0,0,0
development,flexible,True,100,total_bess_discharge_kwh,94.99742584,0,578.374071875,0,0,350.850112323
development,rigid,True,100,total_bess_discharge_kwh,196.712423762,0,863.111389783,0,30.6636742951,689.794813427
development,flexible,False,100,total_grid_import_kwh,73788.1165211,49687.2397506,104830.924192,51943.1141782,74266.0936646,97616.9357544
development,rigid,False,100,total_grid_import_kwh,74132.7558985,50237.6128568,104992.875727,52572.0179403,74437.3293451,98078.59651
development,flexible,True,100,total_grid_import_kwh,73700.4821641,49410.4586044,104830.924192,51630.3752752,74263.3205467,97616.9357544
development,rigid,True,100,total_grid_import_kwh,73960.9037183,49619.8754174,104992.875727,52055.1532737,74426.1772858,97876.3201977
development,flexible,False,100,total_pv_curtailed_kwh,119.291882608,0,750.060571906,0,0,449.84557376
development,rigid,False,100,total_pv_curtailed_kwh,301.979729758,9.99991607387e-06,1597.61463548,9.99995245365e-06,33.9763904101,1215.16705675
development,flexible,True,100,total_pv_curtailed_kwh,21.3946466436,0,373.756010625,0,9.9999961094e-06,160.479401168
development,rigid,True,100,total_pv_curtailed_kwh,108.87606888,0,1086.62046415,0,1.00000015664e-05,651.650277369
development,flexible,False,100,total_pv_used_kwh,27279.6362732,16651.5984611,34817.232351,19023.6615448,28319.0462607,33679.7055773
development,rigid,False,100,total_pv_used_kwh,27096.948426,16627.1716255,34817.232341,18395.1953398,27853.4467778,33679.4335427
development,flexible,True,100,total_pv_used_kwh,27377.5335091,16674.3203466,34817.232351,19330.4953186,28534.9424908,33679.7055673
development,rigid,True,100,total_pv_used_kwh,27290.0520869,16674.3203466,34817.232351,18803.1147344,28416.1961158,33679.7055768
validation,flexible,False,100,deadline_miss_fraction,0.01,0.01,0.01,0.01,0.01,0.01
validation,rigid,False,100,deadline_miss_fraction,0,0,0,0,0,0
validation,flexible,True,100,deadline_miss_fraction,0.01,0.01,0.01,0.01,0.01,0.01
validation,rigid,True,100,deadline_miss_fraction,0,0,0,0,0,0
validation,flexible,False,100,hours_near_pcc_limit,0,0,0,0,0,0
validation,rigid,False,100,hours_near_pcc_limit,0,0,0,0,0,0
validation,flexible,True,100,hours_near_pcc_limit,0,0,0,0,0,0
validation,rigid,True,100,hours_near_pcc_limit,0,0,0,0,0,0
validation,flexible,False,100,maximum_pcc_import_kw,673.374753388,523.820349291,739.853386837,584.287978214,685.354501392,734.502499728
validation,rigid,False,100,maximum_pcc_import_kw,663.726350102,508.623682712,738.868088543,580.219032426,671.012175325,726.601686489
validation,flexible,True,100,maximum_pcc_import_kw,672.405897675,522.136948163,739.85410361,590.3217861,681.018687499,735.196593814
validation,rigid,True,100,maximum_pcc_import_kw,663.726350102,508.623682712,738.868088543,580.219032426,671.012175325,726.601686489
validation,flexible,False,100,pv_utilisation_fraction,0.999623813229,0.990853271628,1,0.996990168964,1,1
validation,rigid,False,100,pv_utilisation_fraction,0.998903686393,0.979834594519,0.999999999701,0.995891801915,0.999999999635,0.99999999969
validation,flexible,True,100,pv_utilisation_fraction,0.999999999903,0.999999999584,1,0.999999999597,1,1
validation,rigid,True,100,pv_utilisation_fraction,0.999772943233,0.992272741384,1,0.999999999563,0.999999999672,1
validation,flexible,False,100,renewable_demand_share,0.254840029402,0.21548847601,0.293774886307,0.220564575616,0.259991078301,0.272541923879
validation,rigid,False,100,renewable_demand_share,0.254262721278,0.215183972239,0.2899654695,0.220258193564,0.259571103132,0.271569886848
validation,flexible,True,100,renewable_demand_share,0.254944490822,0.21548847601,0.296486770142,0.220564575616,0.259991078301,0.273275145864
validation,rigid,True,100,renewable_demand_share,0.254501278433,0.215183972326,0.293646328612,0.22025819365,0.259571103132,0.272789080628
validation,flexible,False,100,terminal_backlog_fraction,0,0,0,0,0,0
validation,rigid,False,100,terminal_backlog_fraction,0,0,0,0,0,0
validation,flexible,True,100,terminal_backlog_fraction,0,0,0,0,0,0
validation,rigid,True,100,terminal_backlog_fraction,0,0,0,0,0,0
validation,flexible,False,100,total_bess_charge_kwh,0,0,0,0,0,0
validation,rigid,False,100,total_bess_charge_kwh,0,0,0,0,0,0
validation,flexible,True,100,total_bess_charge_kwh,9.43211725989,0,234.737679393,0,0,74.6308315457
validation,rigid,True,100,total_bess_charge_kwh,22.404833132,0,390.918020168,0,0,98.9540535576
validation,flexible,False,100,total_bess_discharge_kwh,0,0,0,0,0,0
validation,rigid,False,100,total_bess_discharge_kwh,0,0,0,0,0,0
validation,flexible,True,100,total_bess_discharge_kwh,8.51248582705,0,211.850755652,0,0,67.35432547
