evaluation_split,scenario_id,scenario_hash,episode_seed,analysis_variant,dc_operation,bess_enabled,dc_scale_of_reference_mix,maximum_pv_curtailment_fraction,status,target_dc_peak_kw,reference_mix_operating_peak_kw,pcc_capacity_kw,pv_rated_kw,total_community_load_kwh,total_dc_energy_kwh,total_pv_available_kwh,total_pv_used_kwh,total_pv_curtailed_kwh,pv_utilisation_fraction,renewable_demand_share,total_grid_import_kwh,maximum_pcc_import_kw,hours_near_pcc_limit,near_pcc_limit_fraction,total_bess_charge_kwh,total_bess_discharge_kwh,total_bess_throughput_kwh,maximum_simultaneous_bess_charge_discharge_kw,terminal_soc_deviation_kwh,deadline_miss_gpu_h,deadline_miss_fraction,terminal_backlog_gpu_h,terminal_backlog_fraction
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,fixed_capacity_pv_operation,flexible,False,1,,optimal,201.000783984,201.000783984,1000,500,67297.371465,34694.9051267,34286.210153,34286.210153,0,1,0.336164769517,67706.0664387,615.032125511,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,fixed_capacity_pv_operation,rigid,False,1,,optimal,201.000783984,201.000783984,1000,500,67297.371465,34856.8566521,34286.210153,34280.7696496,5.44050339852,0.999841320946,0.335578568616,67873.4584675,638.1189102,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,fixed_capacity_pv_operation,flexible,True,1,,optimal,201.000783984,201.000783984,1000,500,67297.371465,34694.9051267,34286.210153,34286.210153,0,1,0.336164769517,67706.0664387,626.334333283,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,fixed_capacity_pv_operation,rigid,True,1,,optimal,201.000783984,201.000783984,1000,500,67297.371465,34856.8566521,34286.210153,34286.210143,9.99998883344e-06,0.999999999708,0.335631826259,67868.5484213,638.1189102,0,0.95,5.44048339849,4.91003626714,10.3505196656,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,False,0.5,0.05,optimal,100.500391992,201.000783984,1000,589.655420184,67297.371465,17354.2287023,40434.0993085,38412.3943431,2021.70496543,0.95,0.45377044577,46239.2058242,532.490631729,0,0.95,0,0,0,0,0,235.872,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,False,0.5,0.05,optimal,100.500391992,201.000783984,1000,574.175400687,67297.371465,17428.4283261,39372.5969053,37403.96706,1968.62984526,0.95,0.441470805259,47321.832731,535.308856582,0,0.95,0,0,0,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,True,0.5,0.05,optimal,100.500391992,201.000783984,1000,645.010743727,67297.371465,17351.6203041,44229.9478207,42018.4504296,2211.49739103,0.95,0.496384535143,42873.8614915,531.122027564,0,0.95,2495.59130281,2252.27115079,4747.8624536,2.16004991671e-13,0,235.872,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,True,0.5,0.05,optimal,100.500391992,201.000783984,1000,629.785477533,67297.371465,17428.4283261,43185.914468,41026.6187446,2159.2957234,0.95,0.484228167167,43947.318078,533.184010372,0,0.95,2544.99519546,2296.85816391,4841.85335937,0,0,0,0,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,flexible,False,1,0.05,optimal,201.000783984,201.000783984,1000,720.242583506,67297.371465,34703.7060441,49388.7771584,46919.3383005,2469.43885792,0.95,0.459988653515,55081.7392086,631.582865198,0,0.95,0,0,0,0,0,471.744,0.01,0,0
development,hourly_seed_10000,05eec2799b5c8704ac10cd42bc73f13795a8f3466eb06988c2dd775201ed71a9,10000,headline_pv_hosting_envelope,rigid,False,1,0.05,optimal,201.000783984,201.000783984,1000,687.012790383,67297.371465,34856.8566521,47110.1298177,44754.6233268,2355.50649088,0.95,0.438108379376,57399.6047903,630.97320134,0,0.95,0,0,0,0,0,0,0,0,0
