infrastructure_case,pue,node_fixed_overhead_power_case,node_fixed_overhead_w,duration_h,reliability_target,confidence_level,perfect_information_firm_capacity_kw,reference_mix_operating_peak_kw,physical_gap_fraction_of_reference_peak,reference_perfect_information_firm_capacity_kw,firm_capacity_delta_from_reference_kw
node_overhead_lower,1.2,lower_bound,150,4,0.95,0.95,40.146878193,175.080783984,0.270695119822,40.146878193,0
node_overhead_lower,1.2,lower_bound,150,8,0.95,0.95,37.7597540487,175.080783984,0.284329535261,37.7597540487,-2.84217094304e-14
node_overhead_upper,1.2,upper_bound,450,4,0.95,0.95,40.146878193,226.920783984,0.323079766039,40.146878193,0
node_overhead_upper,1.2,upper_bound,450,8,0.95,0.95,37.7597540487,226.920783984,0.333599402462,37.7597540487,-5.68434188608e-14
pue_high,1.3,nominal,300,4,0.95,0.95,43.4924513758,217.750849316,0.300265066647,40.146878193,3.34557318275
pue_high,1.3,nominal,300,8,0.95,0.95,40.9064002194,217.750849316,0.312141259849,37.7597540487,3.14664617072
pue_low,1.1,nominal,300,4,0.95,0.95,36.8013050103,184.250718652,0.300265066647,40.146878193,-3.34557318275
pue_low,1.1,nominal,300,8,0.95,0.95,34.613107878,184.250718652,0.312141259849,37.7597540487,-3.14664617072
reference,1.2,nominal,300,4,0.95,0.95,40.146878193,201.000783984,0.300265066647,40.146878193,0
reference,1.2,nominal,300,8,0.95,0.95,37.7597540487,201.000783984,0.312141259849,37.7597540487,0
