power_case,duration_h,reliability_target,confidence_level,estimable,perfect_information_firm_capacity_kw,reference_mix_operating_peak_kw,nominal_flexibility_kw,physical_gap_kw,physical_gap_fraction_of_reference_peak
lower,1,0.9,0.95,True,52.7116307578,164.610262946,82.3051314728,29.593500715,0.179779195935
nominal,1,0.9,0.95,True,55.9760946717,201.000783984,100.500391992,44.5242973203,0.221513053023
upper,1,0.9,0.95,True,59.7709715345,236.989442554,118.494721277,58.7237497423,0.247790572903
lower,2,0.9,0.95,True,50.1680117749,164.610262946,82.3051314728,32.1371196979,0.195231567721
nominal,2,0.9,0.95,True,53.274947791,201.000783984,100.500391992,47.225444201,0.234951542302
upper,2,0.9,0.95,True,56.8867014856,236.989442554,118.494721277,61.6080197912,0.259961030868
lower,3,0.9,0.95,True,41.8710472116,164.610262946,82.3051314728,40.4340842612,0.245635257108
nominal,3,0.9,0.95,True,44.4641470777,201.000783984,100.500391992,56.0362449143,0.278786200748
upper,3,0.9,0.95,True,47.4785760756,236.989442554,118.494721277,71.0161452012,0.299659530973
lower,4,0.9,0.95,True,40.4971175999,164.610262946,82.3051314728,41.8080138729,0.253981818173
nominal,4,0.9,0.95,True,43.0051291549,201.000783984,100.500391992,57.4952628372,0.286044968072
upper,4,0.9,0.95,True,45.9206446185,236.989442554,118.494721277,72.5740766583,0.306233374265
lower,6,0.9,0.95,True,39.2483756968,164.610262946,82.3051314728,43.056755776,0.261567869497
nominal,6,0.9,0.95,True,41.6790518929,201.000783984,100.500391992,58.8213400991,0.292642341653
upper,6,0.9,0.95,True,44.5046664811,236.989442554,118.494721277,73.9900547957,0.312208231719
lower,8,0.9,0.95,True,37.9405400313,164.610262946,82.3051314728,44.3645914415,0.26951291279
nominal,8,0.9,0.95,True,40.2902211553,201.000783984,100.500391992,60.2101708367,0.299551920362
upper,8,0.9,0.95,True,43.0216805212,236.989442554,118.494721277,75.4730407556,0.318465835197
lower,1,0.95,0.95,True,49.9138666468,164.610262946,82.3051314728,32.391264826,0.196775488031
nominal,1,0.95,0.95,True,53.0050632979,201.000783984,100.500391992,47.4953286941,0.236294245986
upper,1,0.95,0.95,True,56.5985202816,236.989442554,118.494721277,61.8962009952,0.261177039484
lower,2,0.95,0.95,True,41.8710472116,164.610262946,82.3051314728,40.4340842612,0.245635257108
nominal,2,0.95,0.95,True,44.4641470777,201.000783984,100.500391992,56.0362449143,0.278786200748
upper,2,0.95,0.95,True,47.4785760756,236.989442554,118.494721277,71.0161452012,0.299659530973
lower,3,0.95,0.95,True,38.7886139559,164.610262946,82.3051314728,43.5165175169,0.264360901551
nominal,3,0.95,0.95,True,41.1908168229,201.000783984,100.500391992,59.3095751691,0.295071362378
upper,3,0.95,0.95,True,43.9833317105,236.989442554,118.494721277,74.5113895663,0.314408054483
lower,4,0.95,0.95,True,37.805556672,164.610262946,82.3051314728,44.4995748008,0.270332930672
nominal,4,0.95,0.95,True,40.146878193,201.000783984,100.500391992,60.353513799,0.300265066647
upper,4,0.95,0.95,True,42.8686196804,236.989442554,118.494721277,75.6261015965,0.3191116903
lower,6,0.95,0.95,True,37.805556672,164.610262946,82.3051314728,44.4995748008,0.270332930672
nominal,6,0.95,0.95,True,40.146878193,201.000783984,100.500391992,60.353513799,0.300265066647
upper,6,0.95,0.95,True,42.8686196804,236.989442554,118.494721277,75.6261015965,0.3191116903
lower,8,0.95,0.95,True,35.5576469669,164.610262946,82.3051314728,46.747484506,0.283988881795
nominal,8,0.95,0.95,True,37.7597540487,201.000783984,100.500391992,62.7406379433,0.312141259849
upper,8,0.95,0.95,True,40.3196614132,236.989442554,118.494721277,78.1750598637,0.329867267593
lower,1,0.99,0.95,False,,164.610262946,82.3051314728,,
nominal,1,0.99,0.95,False,,201.000783984,100.500391992,,
upper,1,0.99,0.95,False,,236.989442554,118.494721277,,
lower,2,0.99,0.95,False,,164.610262946,82.3051314728,,
nominal,2,0.99,0.95,False,,201.000783984,100.500391992,,
upper,2,0.99,0.95,False,,236.989442554,118.494721277,,
lower,3,0.99,0.95,False,,164.610262946,82.3051314728,,
nominal,3,0.99,0.95,False,,201.000783984,100.500391992,,
upper,3,0.99,0.95,False,,236.989442554,118.494721277,,
lower,4,0.99,0.95,False,,164.610262946,82.3051314728,,
nominal,4,0.99,0.95,False,,201.000783984,100.500391992,,
upper,4,0.99,0.95,False,,236.989442554,118.494721277,,
lower,6,0.99,0.95,False,,164.610262946,82.3051314728,,
nominal,6,0.99,0.95,False,,201.000783984,100.500391992,,
upper,6,0.99,0.95,False,,236.989442554,118.494721277,,
lower,8,0.99,0.95,False,,164.610262946,82.3051314728,,
nominal,8,0.99,0.95,False,,201.000783984,100.500391992,,
upper,8,0.99,0.95,False,,236.989442554,118.494721277,,
