criteria_case,criteria_factor,min_delivery_ratio,min_interval_delivery_ratio,max_deadline_miss_rate,max_rebound_ratio,min_window_peak_relief_fraction,max_terminal_backlog_fraction,duration_h,reliability_target,confidence_level,perfect_information_firm_capacity_kw
deadline_000,deadline,0.95,0.95,0,0.25,0.5,0.02,4,0.95,0.95,40.146878193
deadline_000,deadline,0.95,0.95,0,0.25,0.5,0.02,8,0.95,0.95,37.7597540487
deadline_002,deadline,0.95,0.95,0.02,0.25,0.5,0.02,4,0.95,0.95,40.146878193
deadline_002,deadline,0.95,0.95,0.02,0.25,0.5,0.02,8,0.95,0.95,37.7597540487
delivery_090,delivery,0.9,0.9,0.01,0.25,0.5,0.02,4,0.95,0.95,42.3772578366
delivery_090,delivery,0.9,0.9,0.01,0.25,0.5,0.02,8,0.95,0.95,39.8575158316
delivery_098,delivery,0.98,0.98,0.01,0.25,0.5,0.02,4,0.95,0.95,38.9178933799
delivery_098,delivery,0.98,0.98,0.01,0.25,0.5,0.02,8,0.95,0.95,36.6038443899
rebound_010,rebound,0.95,0.95,0.01,0.1,0.5,0.02,4,0.95,0.95,40.146878193
rebound_010,rebound,0.95,0.95,0.01,0.1,0.5,0.02,8,0.95,0.95,37.7597540487
rebound_050,rebound,0.95,0.95,0.01,0.5,0.5,0.02,4,0.95,0.95,40.146878193
rebound_050,rebound,0.95,0.95,0.01,0.5,0.5,0.02,8,0.95,0.95,37.7597540487
reference,reference,0.95,0.95,0.01,0.25,0.5,0.02,4,0.95,0.95,40.146878193
reference,reference,0.95,0.95,0.01,0.25,0.5,0.02,8,0.95,0.95,37.7597540487
window_relief_025,window_relief,0.95,0.95,0.01,0.25,0.25,0.02,4,0.95,0.95,40.146878193
window_relief_025,window_relief,0.95,0.95,0.01,0.25,0.25,0.02,8,0.95,0.95,37.7597540487
window_relief_075,window_relief,0.95,0.95,0.01,0.25,0.75,0.02,4,0.95,0.95,40.146878193
window_relief_075,window_relief,0.95,0.95,0.01,0.25,0.75,0.02,8,0.95,0.95,37.7597540487
