workload_case,flexible_arrival_utilization,rigid_gpu_utilization,deadline_slack_scale,duration_h,reliability_target,confidence_level,perfect_information_firm_capacity_kw,reference_perfect_information_firm_capacity_kw,firm_capacity_delta_from_reference_kw
deadline_loose,0.65,0.40625,1.25,4,0.95,0.95,40.146878193,40.146878193,0
deadline_loose,0.65,0.40625,1.25,8,0.95,0.95,37.7597540487,37.7597540487,0
deadline_tight,0.65,0.40625,0.75,4,0.95,0.95,40.146878193,40.146878193,0
deadline_tight,0.65,0.40625,0.75,8,0.95,0.95,37.7597540487,37.7597540487,0
flexible_arrival_high,0.8,0.40625,1,4,0.95,0.95,77.9903675187,40.146878193,37.8434893257
flexible_arrival_high,0.8,0.40625,1,8,0.95,0.95,53.4920556646,37.7597540487,15.7323016159
flexible_arrival_low,0.5,0.40625,1,4,0.95,0.95,30.8822139946,40.146878193,-9.26466419839
flexible_arrival_low,0.5,0.40625,1,8,0.95,0.95,29.0459646528,37.7597540487,-8.71378939585
high_arrival_tight_deadline,0.8,0.40625,0.75,4,0.95,0.95,77.9903675187,40.146878193,37.8434893257
high_arrival_tight_deadline,0.8,0.40625,0.75,8,0.95,0.95,53.4920556646,37.7597540487,15.7323016159
low_arrival_loose_deadline,0.5,0.40625,1.25,4,0.95,0.95,30.8822139946,40.146878193,-9.26466419839
low_arrival_loose_deadline,0.5,0.40625,1.25,8,0.95,0.95,29.0459646528,37.7597540487,-8.71378939585
reference,0.65,0.40625,1,4,0.95,0.95,40.146878193,40.146878193,0
reference,0.65,0.40625,1,8,0.95,0.95,37.7597540487,37.7597540487,0
rigid_utilization_high,0.65,0.6,1,4,0.95,0.95,40.146878193,40.146878193,-6.39488462184e-14
rigid_utilization_high,0.65,0.6,1,8,0.95,0.95,37.7597540487,37.7597540487,0
rigid_utilization_low,0.65,0.25,1,4,0.95,0.95,40.146878193,40.146878193,0
rigid_utilization_low,0.65,0.25,1,8,0.95,0.95,37.7597540487,37.7597540487,0
