community_profile_case,profile_id,climate_zone,duration_h,reliability_target,confidence_level,scenario_count,perfect_information_firm_capacity_kw,reference_mix_operating_peak_kw,reference_perfect_information_firm_capacity_kw,firm_capacity_delta_from_reference_kw
climate_3c,eulp_mixed_3c,3C,1,0.95,0.95,100,53.0050632979,201.000783984,53.0050632979,0
climate_3c,eulp_mixed_3c,3C,2,0.95,0.95,100,44.4641470777,201.000783984,44.4641470777,-6.39488462184e-14
climate_3c,eulp_mixed_3c,3C,3,0.95,0.95,100,41.1908168229,201.000783984,41.1908168229,-5.68434188608e-14
climate_3c,eulp_mixed_3c,3C,4,0.95,0.95,100,40.146878193,201.000783984,40.146878193,0
climate_3c,eulp_mixed_3c,3C,6,0.95,0.95,100,40.146878193,201.000783984,40.146878193,0
climate_3c,eulp_mixed_3c,3C,8,0.95,0.95,100,37.7597540487,201.000783984,37.7597540487,0
climate_5a,eulp_mixed_5a,5A,1,0.95,0.95,100,53.0050632979,201.000783984,53.0050632979,6.39488462184e-14
climate_5a,eulp_mixed_5a,5A,2,0.95,0.95,100,44.4641470777,201.000783984,44.4641470777,-6.39488462184e-14
climate_5a,eulp_mixed_5a,5A,3,0.95,0.95,100,41.1908168229,201.000783984,41.1908168229,0
climate_5a,eulp_mixed_5a,5A,4,0.95,0.95,100,40.146878193,201.000783984,40.146878193,0
climate_5a,eulp_mixed_5a,5A,6,0.95,0.95,100,40.146878193,201.000783984,40.146878193,0
climate_5a,eulp_mixed_5a,5A,8,0.95,0.95,100,37.7597540487,201.000783984,37.7597540487,0
reference_3a,eulp_mixed_3a,3A,1,0.95,0.95,100,53.0050632979,201.000783984,53.0050632979,0
reference_3a,eulp_mixed_3a,3A,2,0.95,0.95,100,44.4641470777,201.000783984,44.4641470777,0
reference_3a,eulp_mixed_3a,3A,3,0.95,0.95,100,41.1908168229,201.000783984,41.1908168229,0
reference_3a,eulp_mixed_3a,3A,4,0.95,0.95,100,40.146878193,201.000783984,40.146878193,0
reference_3a,eulp_mixed_3a,3A,6,0.95,0.95,100,40.146878193,201.000783984,40.146878193,0
reference_3a,eulp_mixed_3a,3A,8,0.95,0.95,100,37.7597540487,201.000783984,37.7597540487,0
