community_profile_case,profile_id,climate_zone,generation_seed,scenario_id,scenario_hash,duration_h,perfect_information_capacity_kw,perfect_information_status,paired_capacity_delta_kw,paired_capacity_ratio
climate_3c,eulp_mixed_3c,3C,10000,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,1,111.874984178,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10000,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,2,97.9657571748,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10000,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,3,74.2409296943,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10000,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,4,50.3560416215,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10000,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,6,50.3560416215,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10000,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,8,50.3560416215,optimal,6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10001,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,1,90.2253374506,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10001,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,2,79.3641146928,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10001,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,3,79.3641146928,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10001,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,4,55.0896685572,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10001,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,6,55.0896685572,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10001,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,8,55.0896685572,optimal,-6.39488462184e-14,1
climate_3c,eulp_mixed_3c,3C,10002,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,1,88.6744285035,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10002,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,2,74.0548167307,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10002,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,3,66.8619859469,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10002,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,4,57.4434323498,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10002,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,6,46.6956589499,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10002,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,8,46.6956589499,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10003,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,1,102.044895115,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10003,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,2,102.044895115,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10003,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,3,44.0003270536,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10003,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,4,44.0003270536,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10003,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,6,44.0003270536,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10003,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,8,44.0003270536,optimal,0,1
climate_3c,eulp_mixed_3c,3C,10004,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,1,68.2874036685,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10004,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,2,68.2874036685,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10004,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,3,45.2208200683,optimal,5.68434188608e-14,1
climate_3c,eulp_mixed_3c,3C,10004,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,4,45.2208200683,optimal,5.68434188608e-14,1
