community_profile_case,profile_id,climate_zone,scenario_id,scenario_hash,episode_seed,dc_operation,bess_enabled,dc_scale_of_reference_mix,maximum_pv_curtailment_fraction,status,pv_rated_kw,total_community_load_kwh,total_pv_available_kwh,total_pv_used_kwh,maximum_pcc_import_kw,deadline_miss_fraction,terminal_backlog_fraction
climate_3c,eulp_mixed_3c,3C,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,10000,flexible,False,1,0.05,optimal,706.171052825,71650.0620309,46064.0581156,43760.8552098,677.996289974,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,10000,rigid,False,1,0.05,optimal,663.624865779,71650.0620309,43288.7389846,41124.3020354,661.90473168,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,10000,flexible,True,1,0.05,optimal,769.585299582,71650.0620309,50200.6161582,47690.5853503,684.72954288,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,10000,rigid,True,1,0.05,optimal,727.03425651,71650.0620309,47424.980265,45053.7312518,661.90473168,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,10001,flexible,False,1,0.05,optimal,689.594233782,72906.2089718,43978.1287475,41779.2223101,645.841372275,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,10001,rigid,False,1,0.05,optimal,648.291478704,72906.2089718,41344.0900745,39276.8855708,681.211484088,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,10001,flexible,True,1,0.05,optimal,751.249432806,72906.2089718,47910.1225894,45514.61646,701.196855897,0.00887419348322,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,10001,rigid,True,1,0.05,optimal,712.252555602,72906.2089718,45423.1387916,43151.9818521,679.461380944,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,10002,flexible,False,1,0.05,optimal,735.38127354,83601.8779461,33015.2187601,31364.4578221,710.901328438,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,10002,rigid,False,1,0.05,optimal,701.849331654,83601.8779461,31509.789622,29934.3001409,676.383379673,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,10002,flexible,True,1,0.05,optimal,807.750339922,83601.8779461,36264.2552042,34451.042444,698.063570104,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,10002,rigid,True,1,0.05,optimal,770.789316691,83601.8779461,34604.8761699,32874.6323614,676.383379673,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,10003,flexible,False,1,0.05,optimal,739.816958554,77242.3543105,51372.788074,48804.1486703,777.574798476,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,10003,rigid,False,1,0.05,optimal,695.420604203,77242.3543105,48289.9113205,45875.4157545,739.960193886,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,10003,flexible,True,1,0.05,optimal,799.877291875,77242.3543105,55543.3693775,52766.2009086,782.07499723,0.01,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,10003,rigid,True,1,0.05,optimal,755.891602866,77242.3543105,52489.0091691,49864.5587106,739.075387996,0,0
climate_3c,eulp_mixed_3c,3C,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,10004,flexible,False,1,0.05,optimal,875.789675499,81065.2310264,27955.6286489,26557.8472165,697.663815311,0.01,0
