community_profile_case,profile_id,climate_zone,bess_enabled,dc_operation,scenario_count,feasible_scenario_count,all_scenarios_feasible,simultaneous_feasible_pv_hosting_kw,mean_scenario_pv_hosting_kw,q05_scenario_pv_hosting_kw,q50_scenario_pv_hosting_kw,q95_scenario_pv_hosting_kw
climate_3c,eulp_mixed_3c,3C,False,flexible,100,100,True,667.0396916,735.908815346,672.306541024,715.228554264,862.831202745
climate_3c,eulp_mixed_3c,3C,False,rigid,100,100,True,603.524041018,693.029483934,626.094438157,670.821266391,813.305175083
climate_3c,eulp_mixed_3c,3C,True,flexible,100,100,True,726.905127547,801.454701006,736.5407226,777.309700004,952.075988149
climate_3c,eulp_mixed_3c,3C,True,rigid,100,100,True,668.55999518,759.101930499,692.749397137,734.842224027,896.961032951
climate_5a,eulp_mixed_5a,5A,False,flexible,100,100,True,585.413494412,817.396741081,620.154306374,813.809593531,970.11669033
climate_5a,eulp_mixed_5a,5A,False,rigid,100,100,True,506.16787401,772.492161914,585.079707375,769.527087826,944.100534902
climate_5a,eulp_mixed_5a,5A,True,flexible,100,100,True,639.265422667,879.274103281,676.132794999,874.392057016,1044.38559796
climate_5a,eulp_mixed_5a,5A,True,rigid,100,100,True,558.399695716,836.325578497,643.941786802,831.717885136,1020.44546331
reference_3a,eulp_mixed_3a,3A,False,flexible,100,100,True,525.741229206,731.165198181,565.842277343,715.314143501,898.487872298
reference_3a,eulp_mixed_3a,3A,False,rigid,100,100,True,430.448294296,685.500884726,508.869650485,668.506542947,861.510301868
reference_3a,eulp_mixed_3a,3A,True,flexible,100,100,True,585.913605287,791.589579866,620.92012761,782.873818225,956.729120989
reference_3a,eulp_mixed_3a,3A,True,rigid,100,100,True,482.654683889,748.243319948,566.657648825,743.989453549,919.207130245
