community_profile_case,climate_zone,timestamp,community_load_kw,pv_generation_kw,net_community_load_kw,profile_id
climate_3c,3C,2018-05-06 00:00:00,309.04455482,0,309.04455482,eulp_mixed_3c
climate_3c,3C,2018-05-06 01:00:00,242.668734419,0,242.668734419,eulp_mixed_3c
climate_3c,3C,2018-05-06 02:00:00,210.895732357,0,210.895732357,eulp_mixed_3c
climate_3c,3C,2018-05-06 03:00:00,203.641277633,0,203.641277633,eulp_mixed_3c
climate_3c,3C,2018-05-06 04:00:00,202.651078275,0,202.651078275,eulp_mixed_3c
climate_3c,3C,2018-05-06 05:00:00,203.680561243,0,203.680561243,eulp_mixed_3c
climate_3c,3C,2018-05-06 06:00:00,210.628768481,0,210.628768481,eulp_mixed_3c
climate_3c,3C,2018-05-06 07:00:00,222.000788722,0,222.000788722,eulp_mixed_3c
climate_3c,3C,2018-05-06 08:00:00,231.432508853,1.86312807096,229.569380782,eulp_mixed_3c
climate_3c,3C,2018-05-06 09:00:00,246.797637994,9.75903551961,237.038602475,eulp_mixed_3c
climate_3c,3C,2018-05-06 10:00:00,277.920250194,21.5724927373,256.347757456,eulp_mixed_3c
climate_3c,3C,2018-05-06 11:00:00,299.443654703,39.1299764673,260.313678236,eulp_mixed_3c
climate_3c,3C,2018-05-06 12:00:00,298.542956973,55.7617959372,242.781161036,eulp_mixed_3c
climate_3c,3C,2018-05-06 13:00:00,294.949283203,65.9542513625,228.99503184,eulp_mixed_3c
climate_3c,3C,2018-05-06 14:00:00,308.3447568,68.6189204814,239.725836319,eulp_mixed_3c
climate_3c,3C,2018-05-06 15:00:00,312.648255688,65.3982178417,247.250037846,eulp_mixed_3c
climate_3c,3C,2018-05-06 16:00:00,325.539386676,58.4187972239,267.120589452,eulp_mixed_3c
climate_3c,3C,2018-05-06 17:00:00,348.477528989,48.6870567341,299.790472255,eulp_mixed_3c
climate_3c,3C,2018-05-06 18:00:00,382.257770951,35.7620102239,346.495760727,eulp_mixed_3c
climate_3c,3C,2018-05-06 19:00:00,402.953032563,23.6287185765,379.324313987,eulp_mixed_3c
climate_3c,3C,2018-05-06 20:00:00,417.297053256,13.2888824719,404.008170784,eulp_mixed_3c
climate_3c,3C,2018-05-06 21:00:00,429.933387391,3.46557970397,426.467807687,eulp_mixed_3c
climate_3c,3C,2018-05-06 22:00:00,431.905510515,0,431.905510515,eulp_mixed_3c
climate_3c,3C,2018-05-06 23:00:00,396.543136501,0,396.543136501,eulp_mixed_3c
climate_3c,3C,2018-05-07 00:00:00,308.887681252,0,308.887681252,eulp_mixed_3c
climate_3c,3C,2018-05-07 01:00:00,237.533431057,0,237.533431057,eulp_mixed_3c
climate_3c,3C,2018-05-07 02:00:00,222.307745181,0,222.307745181,eulp_mixed_3c
climate_3c,3C,2018-05-07 03:00:00,215.777062086,0,215.777062086,eulp_mixed_3c
climate_3c,3C,2018-05-07 04:00:00,215.147377452,0,215.147377452,eulp_mixed_3c
climate_3c,3C,2018-05-07 05:00:00,221.128403332,0,221.128403332,eulp_mixed_3c
climate_3c,3C,2018-05-07 06:00:00,231.590923511,0,231.590923511,eulp_mixed_3c
climate_3c,3C,2018-05-07 07:00:00,254.945183506,0,254.945183506,eulp_mixed_3c
climate_3c,3C,2018-05-07 08:00:00,278.658192037,2.96275635361,275.695435684,eulp_mixed_3c
climate_3c,3C,2018-05-07 09:00:00,297.348070334,15.8797744511,281.468295883,eulp_mixed_3c
climate_3c,3C,2018-05-07 10:00:00,310.641316673,33.0262339393,277.615082734,eulp_mixed_3c
climate_3c,3C,2018-05-07 11:00:00,327.632332042,49.1370530579,278.495278984,eulp_mixed_3c
climate_3c,3C,2018-05-07 12:00:00,343.583116439,61.7930793551,281.790037084,eulp_mixed_3c
climate_3c,3C,2018-05-07 13:00:00,360.413777349,70.1127406971,290.301036652,eulp_mixed_3c
climate_3c,3C,2018-05-07 14:00:00,383.246760249,73.9892108655,309.257549384,eulp_mixed_3c
climate_3c,3C,2018-05-07 15:00:00,398.06005635,73.7784879513,324.281568399,eulp_mixed_3c
climate_3c,3C,2018-05-07 16:00:00,420.782117434,68.269301307,352.512816126,eulp_mixed_3c
climate_3c,3C,2018-05-07 17:00:00,461.194960605,60.2666249358,400.928335669,eulp_mixed_3c
climate_3c,3C,2018-05-07 18:00:00,499.523513177,47.695950002,451.827563175,eulp_mixed_3c
climate_3c,3C,2018-05-07 19:00:00,521.900366515,31.2092505372,490.691115978,eulp_mixed_3c
climate_3c,3C,2018-05-07 20:00:00,514.080324487,15.4897872696,498.590537217,eulp_mixed_3c
climate_3c,3C,2018-05-07 21:00:00,498.040899865,3.94921735254,494.091682512,eulp_mixed_3c
climate_3c,3C,2018-05-07 22:00:00,477.828616641,0,477.828616641,eulp_mixed_3c
climate_3c,3C,2018-05-07 23:00:00,427.547295358,0,427.547295358,eulp_mixed_3c
climate_3c,3C,2018-05-08 00:00:00,327.170483422,0,327.170483422,eulp_mixed_3c
climate_3c,3C,2018-05-08 01:00:00,251.961844215,0,251.961844215,eulp_mixed_3c
climate_3c,3C,2018-05-08 02:00:00,218.856685405,0,218.856685405,eulp_mixed_3c
climate_3c,3C,2018-05-08 03:00:00,209.391378227,0,209.391378227,eulp_mixed_3c
climate_3c,3C,2018-05-08 04:00:00,208.85365125,0,208.85365125,eulp_mixed_3c
climate_3c,3C,2018-05-08 05:00:00,210.467803598,0,210.467803598,eulp_mixed_3c
climate_3c,3C,2018-05-08 06:00:00,217.24447791,0,217.24447791,eulp_mixed_3c
climate_3c,3C,2018-05-08 07:00:00,238.258906696,0,238.258906696,eulp_mixed_3c
climate_3c,3C,2018-05-08 08:00:00,262.913665243,2.8828697105,260.030795532,eulp_mixed_3c
climate_3c,3C,2018-05-08 09:00:00,285.116696402,13.6664118651,271.450284537,eulp_mixed_3c
climate_3c,3C,2018-05-08 10:00:00,307.271910525,24.2978413956,282.97406913,eulp_mixed_3c
climate_3c,3C,2018-05-08 11:00:00,327.946039153,37.1656506368,290.780388516,eulp_mixed_3c
climate_3c,3C,2018-05-08 12:00:00,338.195439745,52.3396607037,285.855779041,eulp_mixed_3c
climate_3c,3C,2018-05-08 13:00:00,351.37804281,62.0222872055,289.355755605,eulp_mixed_3c
climate_3c,3C,2018-05-08 14:00:00,368.120169944,68.9087377188,299.211432226,eulp_mixed_3c
climate_3c,3C,2018-05-08 15:00:00,380.437888126,69.6286186947,310.809269431,eulp_mixed_3c
climate_3c,3C,2018-05-08 16:00:00,401.207177255,65.5788822155,335.628295039,eulp_mixed_3c
climate_3c,3C,2018-05-08 17:00:00,437.105002494,58.6954883664,378.409514127,eulp_mixed_3c
climate_3c,3C,2018-05-08 18:00:00,486.463361435,46.1575719904,440.305789445,eulp_mixed_3c
climate_3c,3C,2018-05-08 19:00:00,513.370396223,30.0554274613,483.314968761,eulp_mixed_3c
climate_3c,3C,2018-05-08 20:00:00,510.528838874,14.9951036855,495.533735189,eulp_mixed_3c
climate_3c,3C,2018-05-08 21:00:00,499.985345528,3.92991629413,496.055429234,eulp_mixed_3c
climate_3c,3C,2018-05-08 22:00:00,488.729772115,0,488.729772115,eulp_mixed_3c
climate_3c,3C,2018-05-08 23:00:00,436.953845669,0,436.953845669,eulp_mixed_3c
climate_3c,3C,2018-05-09 00:00:00,332.722202949,0,332.722202949,eulp_mixed_3c
climate_3c,3C,2018-05-09 01:00:00,259.639592637,0,259.639592637,eulp_mixed_3c
climate_3c,3C,2018-05-09 02:00:00,222.218616157,0,222.218616157,eulp_mixed_3c
climate_3c,3C,2018-05-09 03:00:00,212.03581178,0,212.03581178,eulp_mixed_3c
climate_3c,3C,2018-05-09 04:00:00,208.660322015,0,208.660322015,eulp_mixed_3c
climate_3c,3C,2018-05-09 05:00:00,210.193234257,0,210.193234257,eulp_mixed_3c
climate_3c,3C,2018-05-09 06:00:00,217.00986486,0,217.00986486,eulp_mixed_3c
climate_3c,3C,2018-05-09 07:00:00,236.166492267,0,236.166492267,eulp_mixed_3c
climate_3c,3C,2018-05-09 08:00:00,260.823520951,2.85941844601,257.964102505,eulp_mixed_3c
climate_3c,3C,2018-05-09 09:00:00,285.259472305,12.6239503707,272.635521934,eulp_mixed_3c
climate_3c,3C,2018-05-09 10:00:00,307.718526272,22.7867932578,284.931733014,eulp_mixed_3c
climate_3c,3C,2018-05-09 11:00:00,332.440034579,36.3400977831,296.099936795,eulp_mixed_3c
climate_3c,3C,2018-05-09 12:00:00,346.134609606,53.8985797529,292.236029853,eulp_mixed_3c
climate_3c,3C,2018-05-09 13:00:00,354.187846759,67.5615419917,286.626304768,eulp_mixed_3c
climate_3c,3C,2018-05-09 14:00:00,375.55578718,74.7281234401,300.82766374,eulp_mixed_3c
climate_3c,3C,2018-05-09 15:00:00,381.51591682,75.2721269785,306.243789841,eulp_mixed_3c
climate_3c,3C,2018-05-09 16:00:00,398.268829995,71.1684717659,327.100358229,eulp_mixed_3c
climate_3c,3C,2018-05-09 17:00:00,425.834332443,62.0284377009,363.805894743,eulp_mixed_3c
climate_3c,3C,2018-05-09 18:00:00,462.00037485,48.358667578,413.641707272,eulp_mixed_3c
climate_3c,3C,2018-05-09 19:00:00,484.87484441,31.6126360608,453.262208349,eulp_mixed_3c
climate_3c,3C,2018-05-09 20:00:00,482.194246104,15.7099881969,466.484257907,eulp_mixed_3c
climate_3c,3C,2018-05-09 21:00:00,475.187397581,4.26592767571,470.921469906,eulp_mixed_3c
climate_3c,3C,2018-05-09 22:00:00,466.490887401,0,466.490887401,eulp_mixed_3c
climate_3c,3C,2018-05-09 23:00:00,421.832659384,0,421.832659384,eulp_mixed_3c
climate_3c,3C,2018-05-10 00:00:00,322.094755563,0,322.094755563,eulp_mixed_3c
climate_3c,3C,2018-05-10 01:00:00,252.346727431,0,252.346727431,eulp_mixed_3c
climate_3c,3C,2018-05-10 02:00:00,223.069924437,0,223.069924437,eulp_mixed_3c
climate_3c,3C,2018-05-10 03:00:00,214.413644206,0,214.413644206,eulp_mixed_3c
climate_3c,3C,2018-05-10 04:00:00,210.568339403,0,210.568339403,eulp_mixed_3c
climate_3c,3C,2018-05-10 05:00:00,212.761790624,0,212.761790624,eulp_mixed_3c
climate_3c,3C,2018-05-10 06:00:00,221.69363124,0,221.69363124,eulp_mixed_3c
climate_3c,3C,2018-05-10 07:00:00,243.208849592,0,243.208849592,eulp_mixed_3c
climate_3c,3C,2018-05-10 08:00:00,268.718617817,2.98358160933,265.735036208,eulp_mixed_3c
climate_3c,3C,2018-05-10 09:00:00,289.497310408,14.6167175188,274.88059289,eulp_mixed_3c
climate_3c,3C,2018-05-10 10:00:00,308.182008191,30.6932844366,277.488723754,eulp_mixed_3c
climate_3c,3C,2018-05-10 11:00:00,333.611533897,46.5673954331,287.044138464,eulp_mixed_3c
climate_3c,3C,2018-05-10 12:00:00,338.988531014,57.9726595942,281.01587142,eulp_mixed_3c
climate_3c,3C,2018-05-10 13:00:00,352.134817577,65.4229866093,286.711830968,eulp_mixed_3c
climate_3c,3C,2018-05-10 14:00:00,372.705103491,70.6855417356,302.019561755,eulp_mixed_3c
climate_3c,3C,2018-05-10 15:00:00,385.608971608,72.5048508537,313.104120754,eulp_mixed_3c
climate_3c,3C,2018-05-10 16:00:00,406.666795457,68.6563283033,338.010467154,eulp_mixed_3c
climate_3c,3C,2018-05-10 17:00:00,436.296912416,60.4121062338,375.884806182,eulp_mixed_3c
climate_3c,3C,2018-05-10 18:00:00,478.521229526,47.3964819257,431.1247476,eulp_mixed_3c
climate_3c,3C,2018-05-10 19:00:00,499.051882735,30.9237533275,468.128129407,eulp_mixed_3c
climate_3c,3C,2018-05-10 20:00:00,498.161148322,15.6691376401,482.492010681,eulp_mixed_3c
climate_3c,3C,2018-05-10 21:00:00,491.931220646,4.39077582419,487.540444822,eulp_mixed_3c
climate_3c,3C,2018-05-10 22:00:00,473.278590778,0,473.278590778,eulp_mixed_3c
climate_3c,3C,2018-05-10 23:00:00,426.131625082,0,426.131625082,eulp_mixed_3c
climate_3c,3C,2018-05-11 00:00:00,333.834753723,0,333.834753723,eulp_mixed_3c
climate_3c,3C,2018-05-11 01:00:00,260.383010827,0,260.383010827,eulp_mixed_3c
climate_3c,3C,2018-05-11 02:00:00,224.723456424,0,224.723456424,eulp_mixed_3c
climate_3c,3C,2018-05-11 03:00:00,213.362869207,0,213.362869207,eulp_mixed_3c
climate_3c,3C,2018-05-11 04:00:00,209.872132748,0,209.872132748,eulp_mixed_3c
climate_3c,3C,2018-05-11 05:00:00,213.24005729,0,213.24005729,eulp_mixed_3c
climate_3c,3C,2018-05-11 06:00:00,221.985825593,0,221.985825593,eulp_mixed_3c
climate_3c,3C,2018-05-11 07:00:00,243.913082026,0,243.913082026,eulp_mixed_3c
climate_3c,3C,2018-05-11 08:00:00,266.393943137,2.47722346636,263.916719671,eulp_mixed_3c
climate_3c,3C,2018-05-11 09:00:00,288.73364431,11.2378297946,277.495814515,eulp_mixed_3c
climate_3c,3C,2018-05-11 10:00:00,308.658122996,22.917872244,285.740250752,eulp_mixed_3c
climate_3c,3C,2018-05-11 11:00:00,325.446168558,35.7685218572,289.677646701,eulp_mixed_3c
climate_3c,3C,2018-05-11 12:00:00,331.515370816,48.2923578792,283.223012937,eulp_mixed_3c
climate_3c,3C,2018-05-11 13:00:00,341.9112691,58.5231122017,283.388156898,eulp_mixed_3c
climate_3c,3C,2018-05-11 14:00:00,366.966996281,64.2873577938,302.679638487,eulp_mixed_3c
climate_3c,3C,2018-05-11 15:00:00,381.412304746,66.2023424539,315.209962292,eulp_mixed_3c
climate_3c,3C,2018-05-11 16:00:00,406.77728765,63.3503079318,343.426979718,eulp_mixed_3c
climate_3c,3C,2018-05-11 17:00:00,443.201750005,57.5689429758,385.632807029,eulp_mixed_3c
climate_3c,3C,2018-05-11 18:00:00,493.735573112,46.4764425597,447.259130552,eulp_mixed_3c
climate_3c,3C,2018-05-11 19:00:00,525.858983331,30.7200092649,495.138974066,eulp_mixed_3c
climate_3c,3C,2018-05-11 20:00:00,532.684592786,15.742756511,516.941836275,eulp_mixed_3c
climate_3c,3C,2018-05-11 21:00:00,523.561605927,4.42955929979,519.132046627,eulp_mixed_3c
climate_3c,3C,2018-05-11 22:00:00,506.468667274,0,506.468667274,eulp_mixed_3c
climate_3c,3C,2018-05-11 23:00:00,457.073645578,0,457.073645578,eulp_mixed_3c
climate_3c,3C,2018-05-12 00:00:00,350.81366907,0,350.81366907,eulp_mixed_3c
climate_3c,3C,2018-05-12 01:00:00,270.870550093,0,270.870550093,eulp_mixed_3c
climate_3c,3C,2018-05-12 02:00:00,215.497392416,0,215.497392416,eulp_mixed_3c
climate_3c,3C,2018-05-12 03:00:00,203.585866086,0,203.585866086,eulp_mixed_3c
climate_3c,3C,2018-05-12 04:00:00,196.058087634,0,196.058087634,eulp_mixed_3c
climate_3c,3C,2018-05-12 05:00:00,194.671614679,0,194.671614679,eulp_mixed_3c
climate_3c,3C,2018-05-12 06:00:00,194.34316303,0,194.34316303,eulp_mixed_3c
climate_3c,3C,2018-05-12 07:00:00,197.810792387,0,197.810792387,eulp_mixed_3c
climate_3c,3C,2018-05-12 08:00:00,209.053002956,2.93312942873,206.119873527,eulp_mixed_3c
climate_3c,3C,2018-05-12 09:00:00,240.525015618,13.4260260051,227.098989613,eulp_mixed_3c
climate_3c,3C,2018-05-12 10:00:00,283.780336079,26.4240470058,257.356289073,eulp_mixed_3c
climate_3c,3C,2018-05-12 11:00:00,323.180402098,40.7130731762,282.467328922,eulp_mixed_3c
climate_3c,3C,2018-05-12 12:00:00,341.2443172,52.4667543188,288.777562881,eulp_mixed_3c
climate_3c,3C,2018-05-12 13:00:00,355.974638596,60.9749479484,294.999690647,eulp_mixed_3c
climate_3c,3C,2018-05-12 14:00:00,376.180932729,67.1456749084,309.035257821,eulp_mixed_3c
climate_3c,3C,2018-05-12 15:00:00,389.624100709,69.0482929164,320.575807793,eulp_mixed_3c
climate_3c,3C,2018-05-12 16:00:00,405.066062703,67.953529989,337.112532714,eulp_mixed_3c
climate_3c,3C,2018-05-12 17:00:00,429.496026679,60.6366823195,368.85934436,eulp_mixed_3c
climate_3c,3C,2018-05-12 18:00:00,470.793227174,47.2082489862,423.584978188,eulp_mixed_3c
climate_3c,3C,2018-05-12 19:00:00,494.365274205,30.9986464021,463.366627803,eulp_mixed_3c
climate_3c,3C,2018-05-12 20:00:00,488.026724071,15.8804529011,472.146271169,eulp_mixed_3c
climate_3c,3C,2018-05-12 21:00:00,482.914217695,4.64356517796,478.270652517,eulp_mixed_3c
climate_3c,3C,2018-05-12 22:00:00,469.418692381,0,469.418692381,eulp_mixed_3c
climate_3c,3C,2018-05-12 23:00:00,421.145702031,0,421.145702031,eulp_mixed_3c
climate_3c,3C,2018-05-13 00:00:00,321.59867149,0,321.59867149,eulp_mixed_3c
climate_3c,3C,2018-05-13 01:00:00,243.996381716,0,243.996381716,eulp_mixed_3c
climate_3c,3C,2018-05-13 02:00:00,207.731536544,0,207.731536544,eulp_mixed_3c
climate_3c,3C,2018-05-13 03:00:00,196.453660118,0,196.453660118,eulp_mixed_3c
climate_3c,3C,2018-05-13 04:00:00,193.195138255,0,193.195138255,eulp_mixed_3c
climate_3c,3C,2018-05-13 05:00:00,192.941497841,0,192.941497841,eulp_mixed_3c
climate_3c,3C,2018-05-13 06:00:00,194.074438833,0,194.074438833,eulp_mixed_3c
climate_3c,3C,2018-05-13 07:00:00,203.059158992,0,203.059158992,eulp_mixed_3c
climate_3c,3C,2018-05-13 08:00:00,210.960542226,2.16672841726,208.793813809,eulp_mixed_3c
climate_3c,3C,2018-05-13 09:00:00,232.9158495,9.67196998972,223.24387951,eulp_mixed_3c
climate_3c,3C,2018-05-13 10:00:00,268.351997958,19.1047834907,249.247214468,eulp_mixed_3c
climate_3c,3C,2018-05-13 11:00:00,293.474704042,28.9268321637,264.547871878,eulp_mixed_3c
climate_3c,3C,2018-05-13 12:00:00,299.309658368,37.8334586784,261.47619969,eulp_mixed_3c
climate_3c,3C,2018-05-13 13:00:00,295.710879266,48.6995145999,247.011364666,eulp_mixed_3c
climate_3c,3C,2018-05-13 14:00:00,303.799132166,57.4922500962,246.30688207,eulp_mixed_3c
climate_3c,3C,2018-05-13 15:00:00,308.270143179,62.5322709909,245.737872188,eulp_mixed_3c
climate_3c,3C,2018-05-13 16:00:00,328.076920667,60.5239533848,267.552967282,eulp_mixed_3c
climate_3c,3C,2018-05-13 17:00:00,361.200832696,56.7677324,304.433100296,eulp_mixed_3c
climate_3c,3C,2018-05-13 18:00:00,398.504781516,46.3149929863,352.18978853,eulp_mixed_3c
climate_3c,3C,2018-05-13 19:00:00,427.907010202,31.2987827075,396.608227495,eulp_mixed_3c
climate_3c,3C,2018-05-13 20:00:00,431.872585204,16.0484486421,415.824136562,eulp_mixed_3c
climate_3c,3C,2018-05-13 21:00:00,438.182368405,4.75651835271,433.425850053,eulp_mixed_3c
climate_3c,3C,2018-05-13 22:00:00,438.248547873,0,438.248547873,eulp_mixed_3c
climate_3c,3C,2018-05-13 23:00:00,401.46309719,0,401.46309719,eulp_mixed_3c
climate_3c,3C,2018-05-14 00:00:00,308.977552357,0,308.977552357,eulp_mixed_3c
climate_3c,3C,2018-05-14 01:00:00,240.072480363,0,240.072480363,eulp_mixed_3c
climate_3c,3C,2018-05-14 02:00:00,224.102902828,0,224.102902828,eulp_mixed_3c
climate_3c,3C,2018-05-14 03:00:00,215.616035986,0,215.616035986,eulp_mixed_3c
climate_3c,3C,2018-05-14 04:00:00,215.924225969,0,215.924225969,eulp_mixed_3c
climate_3c,3C,2018-05-14 05:00:00,219.41123026,0,219.41123026,eulp_mixed_3c
climate_3c,3C,2018-05-14 06:00:00,228.752058898,0,228.752058898,eulp_mixed_3c
climate_3c,3C,2018-05-14 07:00:00,247.923933472,0,247.923933472,eulp_mixed_3c
climate_3c,3C,2018-05-14 08:00:00,272.480443174,1.47299338814,271.007449786,eulp_mixed_3c
climate_3c,3C,2018-05-14 09:00:00,295.886343468,6.84930183738,289.037041631,eulp_mixed_3c
climate_3c,3C,2018-05-14 10:00:00,312.181323524,14.479180017,297.702143508,eulp_mixed_3c
climate_3c,3C,2018-05-14 11:00:00,325.72681085,23.6471894202,302.07962143,eulp_mixed_3c
climate_3c,3C,2018-05-14 12:00:00,330.723924164,36.8181990645,293.905725099,eulp_mixed_3c
climate_3c,3C,2018-05-14 13:00:00,330.493691911,51.4287846714,279.06490724,eulp_mixed_3c
climate_3c,3C,2018-05-14 14:00:00,343.098811264,64.1890672538,278.90974401,eulp_mixed_3c
climate_3c,3C,2018-05-14 15:00:00,337.728874191,71.4427249175,266.286149274,eulp_mixed_3c
climate_3c,3C,2018-05-14 16:00:00,343.563251881,69.0623907697,274.500861111,eulp_mixed_3c
climate_3c,3C,2018-05-14 17:00:00,364.421700451,61.5413979454,302.880302506,eulp_mixed_3c
climate_3c,3C,2018-05-14 18:00:00,401.914873272,48.2547567897,353.660116482,eulp_mixed_3c
climate_3c,3C,2018-05-14 19:00:00,427.056831788,31.7906211688,395.266210619,eulp_mixed_3c
climate_3c,3C,2018-05-14 20:00:00,431.667302853,16.2273050031,415.43999785,eulp_mixed_3c
climate_3c,3C,2018-05-14 21:00:00,435.09034121,4.96328855625,430.127052654,eulp_mixed_3c
climate_3c,3C,2018-05-14 22:00:00,438.911858891,0,438.911858891,eulp_mixed_3c
climate_3c,3C,2018-05-14 23:00:00,406.345434444,0,406.345434444,eulp_mixed_3c
climate_3c,3C,2018-05-15 00:00:00,317.461787724,0,317.461787724,eulp_mixed_3c
climate_3c,3C,2018-05-15 01:00:00,251.665867191,0,251.665867191,eulp_mixed_3c
climate_3c,3C,2018-05-15 02:00:00,220.238057882,0,220.238057882,eulp_mixed_3c
climate_3c,3C,2018-05-15 03:00:00,212.376480409,0,212.376480409,eulp_mixed_3c
climate_3c,3C,2018-05-15 04:00:00,211.243551528,0,211.243551528,eulp_mixed_3c
climate_3c,3C,2018-05-15 05:00:00,214.052857204,0,214.052857204,eulp_mixed_3c
climate_5a,5A,2018-05-06 00:00:00,157.219569529,0,157.219569529,eulp_mixed_5a
climate_5a,5A,2018-05-06 01:00:00,149.893350199,0,149.893350199,eulp_mixed_5a
climate_5a,5A,2018-05-06 02:00:00,147.555216309,0,147.555216309,eulp_mixed_5a
climate_5a,5A,2018-05-06 03:00:00,147.331768763,0,147.331768763,eulp_mixed_5a
climate_5a,5A,2018-05-06 04:00:00,153.869725943,0.00433154345123,153.8653944,eulp_mixed_5a
