mode,gpu_count,repeat,gpu_index,sample_count,mean_power_w,std_power_w,mean_utilization_pct,mean_temperature_c,mean_sm_clock_mhz
offline_inference,1,1,0,17,299.994705882,0.0215399765143,100,89,1348.41176471
offline_inference,1,2,0,17,299.991176471,0.0121872643265,100,86.7058823529,1354.52941176
offline_inference,1,3,0,17,299.991176471,0.00992619825334,100,86.5294117647,1358.94117647
offline_inference,4,1,0,16,299.995,0.0212916258969,100,87.3125,1354
offline_inference,4,1,1,16,299.9975,0.0240831891576,100,65.8125,1413.5
offline_inference,4,1,2,16,299.996875,0.022721135535,100,74.5,1409.6875
offline_inference,4,1,3,16,299.99625,0.0174642491966,100,71.375,1446.375
offline_inference,4,2,0,17,299.984705882,0.0194028500029,100,87.8823529412,1350.17647059
offline_inference,4,2,1,17,299.991176471,0.0199632014408,100,74.4705882353,1415
offline_inference,4,2,2,17,300.218823529,0.922956407103,100,83.7647058824,1380.70588235
offline_inference,4,2,3,17,299.997058824,0.0186295148495,100,79.8823529412,1425.64705882
offline_inference,4,3,0,16,299.994375,0.0154784796842,100,88.125,1349.8125
offline_inference,4,3,1,16,299.993125,0.0157982066493,100,78.5,1401.375
offline_inference,4,3,2,16,300.00125,0.0212524508391,100,88.8125,1361.8125
offline_inference,4,3,3,16,299.99375,0.0125830573921,100,84,1416.5625
training,1,1,0,17,299.990588235,0.0292554670607,100,61.7058823529,1614.88235294
training,1,2,0,17,299.988823529,0.0360351135944,100,73.1764705882,1580.94117647
training,1,3,0,18,299.993888889,0.0252374345878,100,79.5,1556.38888889
training,4,1,0,16,275.095625,0.851210657436,100,81.375,1952.125
training,4,1,1,16,245.895,1.05534828374,100,48.125,1996.6875
training,4,1,2,16,256.4625,1.46850717851,100,56,2026.75
training,4,1,3,16,248.403125,1.26973340378,100,55.75,2034
training,4,2,0,17,276.621176471,1.11228302577,100,83.1176470588,1947.11764706
training,4,2,1,17,250.602941176,1.42980665085,100,59.1176470588,1999.52941176
training,4,2,2,17,264.377058824,1.64001053619,100,68.0588235294,2014.58823529
training,4,2,3,17,255.202352941,1.51506406388,100,67.1764705882,2029.64705882
training,4,3,0,16,278.803125,1.41008141018,100,85.625,1945.5
training,4,3,1,16,256.39375,1.06936040074,100,67.625,1992.4375
training,4,3,2,16,270.4025,1.49358851986,100,76.5,2001.8125
training,4,3,3,16,260.98875,1.27318956431,100,74.625,2019.125
