hour,arrival_gpu_h,executed_gpu_h,action_fraction,community_power_kw,dc_power_kw,pcc_power_kw,baseline_pcc_power_kw,pcc_limit_kw,backlog_gpu_h,compute_debt_kwh,missed_gpu_h,event_active,recovery_active,is_clearance_tail
0,260.213329339,260.213329339,0.752061665058,199.525000421,174.359553479,373.8845539,373.8845539,1000,0,1.30640483725e-16,0,False,False,False
1,357.994881722,309.036922812,0.893170297146,188.208326436,190.323552521,378.531878957,389.40553717,1000,48.9579589097,14.4022671398,0,False,False,False
2,181.720075045,230.678033954,0.666699528694,179.697158216,164.385575864,344.08273408,333.209075868,1000,0,9.79803627938e-16,0,False,False,False
3,190.379335566,190.379335566,0.550229310989,176.021882465,152.672460241,328.694342706,328.694342706,1000,0,8.65493204678e-16,0,False,False,False
4,222.447135177,222.447129369,0.642910778522,180.659856821,162.631180962,343.291037782,343.291039491,1000,5.80848811893e-06,1.70871906198e-06,0,False,False,False
5,227.531363529,227.531368613,0.657605111599,203.902815133,164.210101944,368.112917078,368.112915582,1000,7.23790652302e-07,2.12921999849e-07,0,False,False,False
6,361.173969706,313.794407964,0.90692025423,230.431032101,191.77515187,422.206183971,431.6803032,1000,47.3795624664,13.9379404453,0,False,False,False
7,276.084750722,323.464313188,0.934867978096,255.884378641,193.226397124,449.110775765,439.636656323,1000,0,4.24581572106e-15,0,False,False,False
8,482.357428673,346,1,288.406369265,203.233756943,491.640126208,491.640126208,1000,136.357428673,40.1131125148,0,False,False,False
9,411.104724054,346,1,322.4167342,202.066931166,524.483665367,524.483665367,1000,201.462152727,59.26537394,0,False,False,False
10,267.413376149,346,1,355.219355157,199.713858822,554.933213978,554.933213978,1000,122.875528875,36.1470582356,0,False,False,False
11,352.434660778,346,1,386.481003561,201.10615722,587.587160781,587.587160781,1000,129.310189654,38.0399824005,0,False,False,False
12,339.908427667,346,1,415.021136837,200.901029123,615.92216596,615.92216596,1000,123.218617321,36.2479866967,0,False,False,False
13,368.432007151,346,1,436.804627742,201.368127853,638.172755595,638.172755595,1000,145.650624472,42.8469496981,0,False,False,False
14,403.667184125,346,1,453.197798415,201.945134901,655.142933316,655.142933316,1000,203.317808597,59.8112637638,0,False,False,False
15,345.095194035,346,1,464.557357687,200.98596699,665.543324677,665.543324677,1000,202.413002632,59.5450913679,0,False,False,False
16,302.361285528,346,1,469.863936745,200.28616161,670.150098355,670.150098355,1000,158.77428816,46.7076194338,0,False,False,False
17,314.115670275,346,1,458.308920437,200.47865001,658.787570447,658.787570447,1000,126.889958435,37.3280079366,0,False,False,False
18,213.48964741,340.379598618,0.983756065369,434.399954942,197.177421867,631.577376808,631.577378935,1000,7.2278428469e-06,2.12625947604e-06,0,False,False,False
19,296.602835529,296.602840662,0.857233643532,408.621608871,185.660392461,594.282001331,594.281999821,1000,2.0952244455e-06,6.16365212127e-07,0,False,False,False
