job_class,priority_class,metric_type,metric,formal_rows,reference_rows,ks_statistic,ks_pvalue_descriptive_only,wasserstein_distance,normalized_wasserstein_by_reference_median,formal_q50,reference_q50,absolute_relative_error_q50,formal_q90,reference_q90,absolute_relative_error_q90,formal_q95,reference_q95,absolute_relative_error_q95,formal_q99,reference_q99,absolute_relative_error_q99,total_variation_distance,category_count_union
offline_inference,lp,numeric,gpu_request,50000,50000,0.0018799999999999928,0.9999919991126957,0.004763399999999706,0.004763399999999706,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,,
offline_inference,lp,numeric,duration_hours,50000,50000,0.0040999999999999925,0.7930696291258396,0.03727906666666565,0.11373274576270877,0.32222222222222224,0.3277777777777778,0.016949152542372822,3.1,3.138888888888889,0.012389380530973408,5.338888888888889,5.3277777777777775,0.0020855057351407643,14.67788888888891,15.550055555555568,0.056087688146879894,,
offline_inference,lp,numeric,requested_work_gpu_h,50000,50000,0.0044199999999999795,0.7113781617572157,0.07759961111112289,0.21824890625003313,0.35,0.35555555555555557,0.0156250000000001,3.361111111111111,3.394999999999992,0.009981999672718981,5.811388888888865,5.788888888888889,0.00388675623799969,18.066666666666666,19.10561111111112,0.05437902186966643,,
offline_inference,lp,categorical,gpu_spec_public,50000,50000,,,,,,,,,,,,,,,,,0.006560000000000033,13.0
offline_inference,lp,categorical,model_type_public,50000,50000,,,,,,,,,,,,,,,,,0.0003399999999999982,4.0
training,lp,numeric,gpu_request,50000,50000,0.0007199999999999429,1.0,0.008609999999999937,0.008609999999999937,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,,
training,lp,numeric,duration_hours,50000,50000,0.007739999999999969,0.09950679921564287,0.07332053333333187,0.07332053333333187,1.0,1.0,0.0,5.017222222222214,5.194999999999992,0.03422093893701218,8.839444444444396,8.927777777777777,0.009894212818922565,24.11733333333347,25.405944444444522,0.05072085054459886,,
training,lp,numeric,requested_work_gpu_h,50000,50000,0.00651999999999997,0.23730699369681763,0.14392033333333157,0.14392033333333157,1.0,1.0,0.0,5.0,5.0,0.0,9.0,9.033611111111087,0.0037206727960368293,28.406611111111324,29.235277777778176,0.02834475091927205,,
training,lp,categorical,gpu_spec_public,50000,50000,,,,,,,,,,,,,,,,,0.006399999999999997,10.0
training,lp,categorical,model_type_public,50000,50000,,,,,,,,,,,,,,,,,0.0013399999999999875,4.0
